Time_unit:10, Energy_unit: 16, Power_unit: 3, Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
5.91483, 5.00558, 1.85605, 1.17682, 2.72203, 2.99086, 5.72688, 4.1011, 4.85149, 3.32513, 1.20319, 3.77324, 3.55768, 7.24753, 3.69109, 1.09001, 58.2335, 87.8367, 21.000000, 1.002101
0.484299, 0.139603, 10.1051, 0.201004, 0.421783, 8.49039, 0.459854, 1.72348, 0.173111, 2.63084, 7.70218, 0.151184, 0.349121, 0.489899, 10.2651, 0.51889, 44.3058, 74.1781, 11.000000, 2.003074
6.3878, 1.28166, 0.254059, 0.212158, 6.54582, 0.852509, 0.633377, 3.15048, 3.57782, 0.11528, 0.41539, 0.0786285, 5.84387, 0.185867, 0.772842, 0.50946, 30.817, 61.4352, 9.000000, 3.004311
4.28244, 8.66438, 2.14592, 0.475418, 13.2387, 0.392136, 0.61821, 0.28215, 8.56566, 3.23817, 3.3325, 0.265167, 6.31146, 8.30196, 0.681366, 0.383438, 61.1791, 93.795, 13.000000, 4.005335
4.86256, 1.89986, 2.70937, 5.18927, 12.0144, 0.516891, 0.450043, 0.484375, 2.45433, 4.2251, 4.40326, 3.63481, 1.10185, 3.4453, 2.1165, 8.68082, 58.1888, 91.5674, 13.000000, 5.006277
6.3802, 1.57555, 1.43585, 5.53081, 2.90428, 1.94275, 2.61458, 8.50159, 1.28226, 9.48421, 1.13547, 3.375, 3.09451, 9.08876, 1.83223, 0.946777, 61.1248, 95.566, 13.000000, 6.007555
12.7315, 0.787735, 0.631454, 0.604004, 0.937881, 0.794998, 0.961212, 12.3497, 0.755676, 13.2462, 0.707397, 0.958145, 1.23529, 13.1669, 0.845993, 0.796555, 61.5107, 93.8127, 19.000000, 7.008431
3.65543, 3.69461, 8.38704, 3.0594, 4.97141, 4.37025, 3.10724, 9.12691, 6.72939, 2.92268, 2.83563, 3.10854, 8.90414, 3.25874, 3.37981, 2.98427, 74.4955, 108.398, 32.000000, 8.010053
0.73024, 0.439301, 3.65292, 6.25833, 0.424866, 0.963776, 4.71165, 5.03577, 5.20422, 0.867889, 6.81651, 0.345108, 3.57239, 4.58871, 1.08372, 0.777359, 45.4728, 77.1119, 14.000000, 9.010952
8.23216, 8.06346, 8.01611, 8.07066, 8.3031, 8.49515, 8.94299, 8.25072, 7.95378, 7.96855, 7.92744, 8.0545, 7.76527, 8.60223, 7.78244, 7.81468, 130.243, 159.131, 72.000000, 10.011799
