Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
1.73871, 1.10307, 1.05614, 8.57196, 1.2589, 3.58069, 1.07436, 5.23866, 0.9245, 0.941101, 1.53801, 8.47702, 2.02394, 0.95195, 1.17677, 8.02979, 47.6856, 77.7498, 17.000000, 1.002174
0.300858, 0.183044, 0.517929, 0.0999298, 0.542267, 2.72638, 7.23544, 0.242081, 0.422806, 0.367218, 0.271774, 9.12082, 10.2269, 0.221039, 0.805832, 0.63678, 33.9211, 64.5584, 8.000000, 2.003281
0.220154, 0.118378, 9.19113, 2.43649, 0.827438, 1.1376, 10.5841, 0.268555, 0.387604, 0.618454, 0.281174, 0.256271, 10.4553, 0.153976, 0.479965, 0.124924, 37.5415, 68.5687, 9.000000, 3.004702
0.511566, 0.345963, 0.792221, 14.0845, 11.2761, 0.913742, 0.640594, 2.48759, 0.5298, 0.141556, 0.463043, 0.070694, 14.173, 0.492752, 0.717209, 0.0909119, 47.7313, 79.8734, 9.000000, 4.005803
1.52095, 1.60332, 2.30653, 8.54059, 3.8654, 2.52864, 0.623535, 7.13832, 0.311722, 0.885345, 0.357498, 1.01982, 9.25499, 3.19884, 1.35925, 0.614777, 45.1295, 77.8089, 10.000000, 5.006769
0.232544, 0.430359, 0.27623, 14.3911, 14.119, 0.511887, 0.596191, 1.29993, 0.289383, 0.745972, 0.305862, 0.231842, 0.205521, 0.837189, 14.2887, 0.245148, 49.0069, 81.2175, 9.000000, 6.008031
1.87355, 1.82358, 5.06815, 7.0495, 7.30157, 3.29887, 2.39508, 2.05885, 2.49982, 5.86005, 2.9545, 2.71364, 3.78172, 2.28439, 7.59645, 1.7973, 60.357, 91.8593, 24.000000, 7.009282
0.300781, 0.0661163, 7.11897, 0.315109, 0.89003, 0.551376, 3.79068, 0.0780487, 0.87973, 3.14784, 5.22144, 1.50941, 2.09921, 4.00824, 0.32518, 2.5524, 32.8546, 64.4517, 9.000000, 8.010636
5.12686, 5.01308, 4.84404, 4.94341, 5.409, 6.35542, 8.03545, 6.06976, 5.11952, 9.02321, 5.10989, 5.09502, 5.27432, 5.47798, 5.35637, 8.32533, 94.5787, 123.971, 48.000000, 9.011621
0.59967, 12.9234, 0.101974, 0.129501, 13.0343, 0.41423, 2.10385, 0.126541, 0.166153, 0.513992, 0.130051, 0.18042, 11.2122, 0.200729, 0.133408, 0.262497, 42.2329, 72.36, 9.000000, 10.013295
0.164856, 6.1954, 5.74756, 2.45518, 13.5274, 0.304657, 0.306778, 0.384201, 0.403275, 0.307266, 0.0847015, 0.390671, 6.75993, 6.26288, 0.438843, 0.442139, 44.1758, 75.976, 9.000000, 11.014449
0.769547, 4.53238, 3.83105, 5.08955, 11.6818, 2.20927, 1.6474, 1.4929, 0.304031, 0.742981, 0.414597, 0.0995636, 1.15157, 9.97295, 1.73398, 1.73001, 47.4036, 79.8817, 10.000000, 12.015489
7.92183, 0.444183, 4.49493, 1.0565, 10.1368, 1.73564, 2.49658, 2.64853, 0.0720215, 1.37579, 0.318375, 0.128586, 10.9775, 0.538345, 0.582382, 1.49391, 46.4219, 78.5122, 10.000000, 13.016884
11.9578, 0.577896, 0.66571, 0.0628052, 8.20003, 6.49866, 0.279205, 1.28339, 2.27531, 0.0625458, 0.198273, 0.356277, 13.8216, 0.37587, 0.643417, 0.435059, 47.6938, 79.4247, 9.000000, 14.018245
1.03911, 1.80246, 1.66269, 0.960541, 3.70935, 6.17072, 2.29385, 5.26372, 6.72621, 2.82182, 3.64935, 1.74342, 6.62071, 2.55185, 4.68066, 3.43713, 55.1336, 87.9408, 15.000000, 15.019197
6.44221, 7.4809, 8.73314, 6.64427, 9.79642, 6.81021, 6.90239, 6.91068, 6.40706, 6.58098, 6.48196, 6.44531, 7.86044, 6.58763, 8.42931, 6.61203, 115.125, 147.141, 58.000000, 16.020177
8.02686, 8.13132, 7.84451, 8.13481, 9.05301, 8.23405, 8.22722, 8.37735, 8.50987, 8.33504, 8.42601, 8.41125, 8.29904, 8.68565, 8.9341, 8.28008, 133.91, 167.947, 70.000000, 17.021183
8.94913, 9.37032, 8.86926, 8.95607, 8.01012, 8.13835, 8.106, 8.06361, 8.88486, 9.00046, 8.81303, 8.83058, 8.90645, 8.91249, 8.75368, 9.16724, 139.732, 174.073, 74.000000, 18.022083
8.81454, 8.65297, 8.79582, 8.60352, 8.82413, 8.87018, 8.79753, 8.72234, 8.70822, 8.79858, 8.72397, 8.86989, 8.47102, 8.54955, 8.76212, 8.61777, 139.582, 173.624, 74.000000, 19.025352
8.55716, 8.56239, 8.24202, 8.61537, 8.69652, 8.53506, 8.24434, 8.41098, 8.73764, 8.68727, 8.33182, 8.5789, 9.37935, 9.27563, 9.26163, 9.26074, 139.377, 173.685, 73.000000, 20.026378
8.51491, 8.81682, 8.67561, 8.7821, 8.27074, 8.30807, 8.15475, 8.17668, 8.96587, 9.13937, 8.94606, 9.14096, 8.81006, 8.78142, 8.79524, 8.73355, 139.012, 173.14, 72.000000, 21.027288
7.99611, 8.20647, 7.93607, 7.96924, 8.79829, 8.5105, 8.46223, 8.79852, 8.67715, 8.95441, 8.79683, 8.84888, 8.44019, 8.32896, 8.34354, 8.26691, 135.334, 169.771, 72.000000, 22.028234
6.47014, 6.31731, 6.19792, 6.28773, 7.56255, 7.51717, 7.30232, 7.90508, 6.24408, 6.83514, 6.10333, 6.38995, 6.26747, 6.3858, 6.28667, 6.17528, 106.248, 142.082, 55.000000, 23.029136
7.31995, 7.79921, 7.0139, 7.24974, 8.45241, 7.98489, 7.88496, 8.02193, 7.62132, 7.93013, 7.64062, 7.27692, 8.85207, 7.4203, 7.06609, 7.58192, 123.116, 157.58, 62.000000, 24.029990
0.544434, 0.546951, 12.1804, 0.110809, 4.5798, 2.15666, 5.13434, 6.19456, 0.198029, 0.300308, 0.835953, 0.583374, 5.27785, 2.50111, 7.18475, 0.578949, 48.9083, 81.0272, 10.000000, 25.031040
0.501328, 1.00746, 12.1749, 1.12277, 10.1924, 1.68716, 6.80011, 4.39194, 0.231674, 0.371384, 0.554657, 0.364151, 3.87047, 1.30371, 10.4596, 1.35208, 56.3858, 89.25, 10.000000, 26.031918
