Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
1.16093, 3.50688, 8.08897, 1.43103, 4.46674, 1.1566, 0.898361, 3.56827, 7.57173, 1.24823, 2.4642, 1.5657, 3.36234, 3.74872, 0.94368, 1.89107, 47.0735, 76.6373, 16.000000, 1.002548
0.374634, 0.167801, 9.25476, 0.527313, 0.38205, 0.58992, 0.500946, 9.27594, 0.159058, 0.11412, 0.41069, 0.145157, 9.54765, 0.306656, 0.633774, 0.225601, 32.6161, 62.4284, 8.000000, 2.003897
8.63324, 1.06444, 1.60225, 0.570267, 7.89874, 2.25563, 1.43465, 0.244461, 9.43155, 0.706284, 0.200027, 0.167145, 0.288879, 0.173294, 0.784286, 0.125656, 35.5808, 66.7138, 9.000000, 3.005150
1.73982, 1.73151, 5.87199, 1.92444, 6.20374, 2.53166, 1.79077, 6.14488, 2.07233, 5.66695, 2.6828, 1.73285, 5.79868, 3.01939, 2.40143, 5.85646, 57.1697, 89.44, 23.000000, 4.006377
0.208252, 3.80222, 5.65334, 0.561386, 5.35202, 0.528671, 0.157059, 0.0843201, 0.963974, 4.80159, 0.595169, 0.554398, 9.36913, 0.393784, 0.482346, 0.205933, 33.7136, 64.5455, 9.000000, 5.007384
5.19199, 6.75694, 6.47554, 8.17758, 5.32298, 4.64047, 5.72377, 4.7103, 7.11588, 6.31895, 5.00052, 4.99489, 6.75769, 4.85487, 5.30368, 5.87001, 93.2161, 123.533, 49.000000, 6.008841
2.04387, 2.45811, 0.664673, 9.66061, 0.278763, 0.0684509, 0.274994, 0.0766602, 12.4164, 0.200974, 0.955399, 0.688126, 11.2361, 0.708206, 0.15213, 2.35826, 44.2417, 74.8085, 10.000000, 7.009811
8.22855, 5.23245, 5.18629, 5.60471, 5.72203, 5.44685, 4.9574, 5.06241, 6.00504, 6.87244, 7.25215, 5.27818, 7.66583, 6.91464, 5.13281, 4.86783, 95.4296, 128.614, 42.000000, 8.010650
3.56554, 3.76877, 3.64404, 8.44119, 4.22807, 4.52151, 4.19794, 4.53697, 4.40613, 4.72882, 8.5892, 4.16508, 4.35632, 8.36624, 3.93887, 4.11452, 79.5692, 113.886, 36.000000, 9.011499
5.70744, 5.50694, 5.68053, 6.33, 6.50049, 6.41261, 6.6015, 6.16464, 6.0443, 5.91789, 5.82118, 6.40039, 6.11458, 6.01152, 6.00717, 7.02417, 98.2454, 135.995, 53.000000, 10.012540
6.7252, 5.83755, 6.02904, 7.10574, 6.27573, 5.83502, 6.1064, 6.14143, 5.75517, 6.06961, 6.26813, 5.87248, 6.49252, 6.31407, 6.08772, 6.37827, 99.2941, 137.331, 54.000000, 11.013575
5.88148, 6.50269, 6.30289, 6.2942, 5.9686, 6.50746, 5.80368, 5.88757, 5.91019, 6.00688, 6.11859, 6.56445, 6.75792, 6.17255, 6.5914, 6.07144, 99.342, 137.379, 54.000000, 12.014556
6.05241, 6.13585, 6.07848, 5.92519, 6.51607, 6.63022, 6.11168, 6.08182, 6.66364, 5.99724, 6.38849, 6.11128, 5.82724, 6.05841, 6.31746, 6.11096, 99.0064, 136.948, 54.000000, 13.015491
6.07007, 6.11259, 6.12637, 6.52448, 6.04408, 6.2601, 5.97462, 6.49684, 6.11737, 6.56406, 6.10994, 6.19319, 6.14528, 6.48343, 6.22424, 5.95517, 99.4018, 137.692, 54.000000, 14.016572
5.7877, 5.95683, 5.94534, 6.60056, 6.48532, 6.59987, 6.50206, 6.29109, 6.15979, 6.32086, 5.94119, 6.27426, 5.71628, 5.91307, 6.32709, 6.17371, 98.995, 137, 54.000000, 15.017457
6.01822, 5.88307, 5.98114, 6.62727, 5.94142, 6.28722, 6.26434, 6.20966, 6.07202, 6.12042, 5.95914, 6.34544, 6.64091, 6.42636, 6.83803, 6.22621, 99.8409, 138.093, 54.000000, 16.018396
6.13268, 6.36923, 5.97153, 6.68513, 6.26619, 6.31534, 6.21722, 6.18642, 6.13507, 6.58023, 6.52936, 6.40375, 6.39252, 6.47046, 6.13544, 6.31056, 101.101, 139.378, 54.000000, 17.019388
4.89314, 5.41747, 4.53529, 4.79176, 4.97202, 4.2159, 5.35652, 4.81696, 5.08109, 5.21443, 5.20885, 4.84863, 5.15712, 4.70924, 4.92793, 4.46031, 78.6067, 115.29, 39.000000, 18.020399
5.57387, 5.57085, 5.64519, 5.25021, 5.63293, 5.62732, 6.01889, 6.12575, 6.01933, 6.00388, 5.77982, 5.71861, 5.71906, 5.50311, 6.06683, 6.09549, 92.3511, 129.635, 49.000000, 19.021454
5.2249, 5.15536, 4.86526, 5.17177, 5.57587, 5.50984, 5.27322, 5.43214, 5.29913, 5.40788, 5.56061, 5.32358, 5.9899, 5.0885, 5.95581, 5.62027, 86.4541, 123.726, 45.000000, 20.022484
2.96672, 2.78729, 3.05836, 3.45284, 2.99641, 3.20648, 3.76335, 3.41516, 2.78593, 3.69008, 4.11824, 3.5475, 3.4639, 6.93626, 4.48213, 3.6833, 58.354, 93.0929, 24.000000, 21.023429
5.10408, 5.50655, 5.52362, 5.57289, 5.84721, 5.76695, 5.90471, 5.41234, 5.38277, 5.52786, 5.33467, 5.57347, 4.9015, 5.64967, 5.63297, 5.0896, 87.7309, 123.639, 44.000000, 22.024514
4.50294, 5.08972, 5.08597, 5.66203, 4.675, 5.36586, 4.87764, 4.88487, 5.19612, 5.42223, 5.27744, 5.03493, 5.51506, 5.97714, 5.49506, 4.97057, 83.0326, 119.981, 42.000000, 23.025698
5.11647, 5.30615, 4.84831, 5.12801, 4.42078, 5.12364, 4.74411, 4.54112, 4.757, 5.17798, 4.98624, 5.35936, 4.48198, 5.03955, 4.78828, 4.67175, 78.4907, 115.127, 39.000000, 24.026865
4.08838, 4.92032, 3.96852, 3.9915, 4.68282, 4.88588, 4.0162, 4.16129, 4.55438, 4.87115, 4.76656, 4.88719, 5.79448, 6.9166, 5.68616, 4.84792, 77.0393, 112.849, 36.000000, 25.027780
5.5574, 5.37646, 4.84068, 5.20633, 5.35408, 4.71107, 5.30212, 5.04523, 5.48906, 5.02615, 4.81664, 5.34134, 5.5002, 4.82626, 4.84691, 5.11751, 82.3575, 118.816, 42.000000, 26.028780
5.09561, 4.79907, 5.44832, 5.42851, 5.55444, 4.89093, 5.05006, 4.85916, 5.10182, 5.45172, 5.59859, 5.18799, 5.59592, 5.26753, 4.97287, 4.804, 83.1066, 120.072, 43.000000, 27.029852
5.17154, 5.06232, 6.09346, 5.74258, 3.80568, 4.29796, 3.9735, 3.99565, 5.68997, 5.19853, 5.91541, 5.69246, 5.06621, 5.70888, 5.12134, 5.35458, 81.8901, 118.856, 41.000000, 28.030935
4.38007, 4.01639, 4.3755, 3.99637, 4.21904, 4.66779, 4.78889, 4.9212, 3.5809, 4.38184, 4.0459, 4.01245, 3.87961, 4.03247, 4.06244, 4.67181, 68.0327, 104.047, 33.000000, 29.032065
3.12686, 3.35161, 3.74109, 3.81778, 4.20572, 4.96799, 4.90402, 5.11479, 4.08939, 4.09082, 4.59746, 4.17969, 4.55788, 4.41919, 3.73189, 4.55519, 67.4514, 102.714, 32.000000, 30.033074
4.70528, 4.61292, 4.49069, 4.59149, 4.97025, 4.94858, 4.47772, 4.59233, 4.64911, 5.43636, 5.67624, 5.21735, 5.62268, 5.11613, 5.56491, 5.46774, 80.1398, 116.023, 38.000000, 31.033936
2.70003, 3.7737, 3.41827, 3.35435, 3.31714, 3.40916, 4.49062, 3.82893, 4.03381, 4.64487, 4.94073, 4.14693, 4.17789, 4.00893, 4.60875, 3.78333, 62.6374, 98.2912, 26.000000, 32.034804
4.30963, 4.76593, 4.39096, 4.52306, 4.64761, 5.43466, 4.89133, 4.61603, 5.66685, 5.4288, 4.85043, 5.6313, 5.30547, 4.47084, 4.47107, 4.50308, 77.9071, 113.209, 37.000000, 33.035816
4.94965, 5.28426, 4.46442, 4.97888, 5.16362, 4.7948, 4.825, 5.01309, 5.20416, 5.28535, 4.32225, 4.60483, 5.67287, 5.42932, 5.72545, 5.69627, 81.4142, 118.104, 40.000000, 34.036771
4.43158, 4.28616, 4.42632, 5.10631, 4.49547, 4.49623, 4.61943, 4.34138, 4.85873, 5.09663, 4.81532, 4.95998, 5.81982, 4.97678, 5.50957, 6.01111, 78.2508, 114.536, 38.000000, 35.037601
