Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
01:10:27.476899, 0, 1, 0, 1/11019, 73.279/250.0, 74, 1350
01:10:27.486534, 1, 2, 1, 1/11019, 24.993000000000002/250.0, 40, 315
01:10:27.496350, 2, 0, 0, 1/11019, 1.917/250.0, 40, 300
01:10:27.505442, 3, 0, 0, 99/11016, 25.058/250.0, 48, 300
01:10:28.508742, 0, 23, 2, 1/11019, 107.193/250.0, 75, 1830
01:10:28.510914, 1, 39, 17, 1/11019, 75.539/250.0, 42, 1905
01:10:28.513875, 2, 0, 0, 1/11019, 1.7610000000000001/250.0, 40, 300
01:10:28.516913, 3, 0, 0, 99/11016, 24.832/250.0, 48, 300
01:10:29.520198, 0, 0, 0, 267/11019, 81.491/250.0, 73, 1350
01:10:29.522356, 1, 0, 0, 1/11019, 75.772/250.0, 42, 1905
01:10:29.525331, 2, 0, 0, 1/11019, 2.08/250.0, 40, 300
01:10:29.528245, 3, 0, 0, 99/11016, 24.878/250.0, 48, 300
01:10:30.531715, 0, 3, 0, 309/11019, 71.859/250.0, 72, 1350
01:10:30.534291, 1, 0, 0, 1/11019, 21.689/250.0, 40, 420
01:10:30.537276, 2, 0, 0, 1/11019, 2.453/250.0, 40, 300
01:10:30.539954, 3, 0, 0, 99/11016, 24.775000000000002/250.0, 48, 300
01:10:31.543173, 0, 0, 0, 557/11019, 71.291/250.0, 72, 1350
01:10:31.546102, 1, 0, 0, 1/11019, 19.34/250.0, 40, 315
01:10:31.549201, 2, 0, 0, 1/11019, 2.039/250.0, 40, 300
01:10:31.553715, 3, 0, 0, 99/11016, 24.906/250.0, 48, 300
01:10:32.556955, 0, 2, 0, 813/11019, 70.718/250.0, 71, 1350
01:10:32.559797, 1, 0, 0, 1/11019, 19.347/250.0, 40, 315
01:10:32.562769, 2, 0, 0, 1/11019, 2.069/250.0, 40, 300
01:10:32.565425, 3, 0, 0, 99/11016, 24.706/250.0, 48, 300
01:10:33.568693, 0, 7, 0, 813/11019, 70.318/250.0, 70, 1350
01:10:33.571392, 1, 0, 0, 1/11019, 19.466/250.0, 40, 300
01:10:33.574385, 2, 0, 0, 1/11019, 2.067/250.0, 40, 300
01:10:33.577033, 3, 0, 0, 99/11016, 24.888/250.0, 48, 300
01:10:34.580332, 0, 2, 0, 1119/11019, 70.031/250.0, 70, 1350
01:10:34.586182, 1, 0, 0, 1/11019, 19.482/250.0, 40, 300
01:10:34.590493, 2, 0, 0, 1/11019, 2.322/250.0, 40, 300
01:10:34.593979, 3, 0, 0, 99/11016, 24.809/250.0, 48, 300
01:10:35.604875, 0, 7, 1, 8889/11019, 243.50300000000001/250.0, 74, 1560
01:10:35.608258, 1, 0, 0, 1/11019, 19.268/250.0, 40, 300
01:10:35.611342, 2, 0, 0, 1/11019, 2.957/250.0, 40, 300
01:10:35.616712, 3, 0, 0, 99/11016, 25.011/250.0, 48, 300
01:10:36.620024, 0, 86, 48, 8889/11019, 241.583/250.0, 76, 1740
01:10:36.622664, 1, 0, 0, 1/11019, 18.446/250.0, 40, 300
01:10:36.625385, 2, 0, 0, 1/11019, 6.28/250.0, 40, 300
01:10:36.627934, 3, 0, 0, 99/11016, 24.0/250.0, 48, 300
01:10:37.631180, 0, 72, 45, 8889/11019, 102.864/250.0, 71, 1845
01:10:37.633858, 1, 0, 0, 1/11019, 19.333000000000002/250.0, 40, 300
01:10:37.636895, 2, 0, 0, 1/11019, 2.283/250.0, 40, 300
01:10:37.639550, 3, 0, 0, 99/11016, 24.545/250.0, 48, 300
01:10:38.644664, 0, 0, 0, 8889/11019, 101.183/250.0, 71, 1845
01:10:38.647549, 1, 0, 0, 1/11019, 19.439/250.0, 40, 300
01:10:38.650523, 2, 0, 0, 1/11019, 2.382/250.0, 40, 300
01:10:38.653058, 3, 0, 0, 99/11016, 24.832/250.0, 48, 300
01:10:39.656735, 0, 0, 0, 8889/11019, 68.631/250.0, 69, 1350
01:10:39.659466, 1, 0, 0, 1/11019, 19.264/250.0, 40, 300
01:10:39.662448, 2, 0, 0, 1/11019, 2.946/250.0, 40, 300
01:10:39.665931, 3, 0, 0, 99/11016, 24.599/250.0, 48, 300
01:10:40.671439, 0, 9, 0, 8889/11019, 67.919/250.0, 68, 1350
01:10:40.673980, 1, 0, 0, 1/11019, 19.53/250.0, 40, 300
01:10:40.676565, 2, 0, 0, 1/11019, 3.028/250.0, 40, 300
01:10:40.679001, 3, 0, 0, 99/11016, 24.888/250.0, 48, 300
01:10:41.682163, 0, 0, 0, 8889/11019, 67.322/250.0, 68, 1350
01:10:41.684734, 1, 0, 0, 1/11019, 19.337/250.0, 40, 300
01:10:41.687596, 2, 0, 0, 1/11019, 2.972/250.0, 40, 300
01:10:41.690110, 3, 0, 0, 99/11016, 24.826/250.0, 48, 300
01:10:42.695487, 0, 2, 0, 8889/11019, 67.362/250.0, 67, 1350
01:10:42.701944, 1, 0, 0, 1/11019, 19.055/250.0, 40, 300
01:10:42.705590, 2, 0, 0, 1/11019, 3.465/250.0, 40, 300
01:10:42.708229, 3, 0, 0, 99/11016, 25.134/250.0, 48, 300
01:10:43.711706, 0, 7, 0, 8889/11019, 67.431/250.0, 67, 1350
01:10:43.714576, 1, 0, 0, 1/11019, 19.311/250.0, 40, 300
01:10:43.717600, 2, 0, 0, 1/11019, 2.882/250.0, 40, 300
01:10:43.720347, 3, 0, 0, 99/11016, 24.686/250.0, 48, 300
01:10:44.723711, 0, 0, 0, 8889/11019, 72.452/250.0, 66, 1350
01:10:44.726374, 1, 0, 0, 1/11019, 19.336000000000002/250.0, 40, 300
01:10:44.729357, 2, 0, 0, 1/11019, 3.378/250.0, 40, 300
01:10:44.732054, 3, 0, 0, 99/11016, 24.862000000000002/250.0, 48, 300
01:10:45.735623, 0, 21, 5, 8889/11019, 71.742/250.0, 66, 1350
01:10:45.739135, 1, 0, 0, 1/11019, 19.454/250.0, 40, 300
01:10:45.742103, 2, 0, 0, 1/11019, 3.2840000000000003/250.0, 40, 300
01:10:45.745303, 3, 0, 0, 99/11016, 24.931/250.0, 48, 300
01:10:46.748652, 0, 26, 6, 8889/11019, 73.771/250.0, 66, 1350
01:10:46.751487, 1, 0, 0, 1/11019, 19.346/250.0, 40, 300
01:10:46.755021, 2, 0, 0, 1/11019, 3.043/250.0, 40, 300
01:10:46.757748, 3, 0, 0, 99/11016, 24.747/250.0, 48, 300
01:10:47.761339, 0, 27, 6, 8889/11019, 72.136/250.0, 65, 1350
01:10:47.764176, 1, 0, 0, 1/11019, 19.464/250.0, 40, 300
01:10:47.767172, 2, 0, 0, 1/11019, 3.237/250.0, 40, 300
01:10:47.770085, 3, 0, 0, 99/11016, 24.934/250.0, 48, 300
01:10:48.773873, 0, 27, 6, 8889/11019, 73.393/250.0, 65, 1350
01:10:48.777942, 1, 0, 0, 1/11019, 19.172/250.0, 40, 300
01:10:48.780894, 2, 0, 0, 1/11019, 3.128/250.0, 40, 300
01:10:48.784166, 3, 0, 0, 99/11016, 24.472/250.0, 48, 300
01:10:49.787533, 0, 29, 7, 8889/11019, 70.2/250.0, 64, 1350
01:10:49.790435, 1, 0, 0, 1/11019, 19.375/250.0, 40, 300
