Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:39:22.967831, 0, 1, 0, 1/11019, 76.608/250.0, 75, 1830
23:39:22.977327, 1, 2, 1, 1/11019, 25.103/250.0, 39, 420
23:39:22.986265, 2, 2, 1, 1/11019, 18.787/250.0, 42, 300
23:39:22.995716, 3, 2, 1, 98/11016, 28.466/250.0, 50, 435
23:39:23.999159, 0, 23, 2, 1/11019, 106.28/250.0, 75, 1830
23:39:24.001304, 1, 42, 16, 1/11019, 56.798/250.0, 40, 1575
23:39:24.003671, 2, 24, 11, 1/11019, 81.404/250.0, 44, 1890
23:39:24.005741, 3, 32, 18, 98/11016, 70.941/250.0, 52, 1785
23:39:25.009838, 0, 0, 0, 201/11019, 71.21300000000001/250.0, 73, 1350
23:39:25.012898, 1, 0, 0, 169/11019, 56.554/250.0, 40, 1575
23:39:25.017531, 2, 12, 1, 169/11019, 82.58200000000001/250.0, 44, 1350
23:39:25.020054, 3, 9, 1, 98/11016, 71.539/250.0, 52, 1785
23:39:26.023334, 0, 3, 0, 305/11019, 71.251/250.0, 72, 1350
23:39:26.025557, 1, 3, 0, 305/11019, 45.789/250.0, 40, 1350
23:39:26.027663, 2, 1, 0, 305/11019, 53.994/250.0, 43, 1350
23:39:26.030003, 3, 0, 0, 98/11016, 28.067/250.0, 50, 435
23:39:27.038549, 0, 0, 0, 429/11019, 70.91/250.0, 71, 1350
23:39:27.040924, 1, 0, 0, 429/11019, 46.356/250.0, 40, 1350
23:39:27.043349, 2, 3, 0, 429/11019, 54.428000000000004/250.0, 44, 1350
23:39:27.045872, 3, 0, 0, 98/11016, 27.876/250.0, 50, 330
23:39:28.053375, 0, 0, 0, 813/11019, 70.569/250.0, 71, 1350
23:39:28.060545, 1, 1, 0, 813/11019, 46.11/250.0, 40, 1350
23:39:28.063448, 2, 8, 0, 813/11019, 54.552/250.0, 44, 1350
23:39:28.066088, 3, 0, 0, 98/11016, 25.029/250.0, 50, 330
23:39:29.074862, 0, 9, 0, 813/11019, 69.754/250.0, 70, 1350
23:39:29.081290, 1, 6, 0, 813/11019, 45.983000000000004/250.0, 40, 1350
23:39:29.087464, 2, 1, 0, 813/11019, 54.550000000000004/250.0, 44, 1350
23:39:29.090215, 3, 0, 0, 98/11016, 24.708000000000002/250.0, 50, 300
23:39:30.100030, 0, 0, 0, 1017/11019, 69.733/250.0, 69, 1350
23:39:30.106493, 1, 0, 0, 929/11019, 46.593/250.0, 41, 1350
23:39:30.114235, 2, 3, 0, 957/11019, 54.975/250.0, 44, 1350
23:39:30.117892, 3, 0, 0, 98/11016, 24.842/250.0, 50, 300
23:39:31.125845, 0, 5, 0, 2745/11019, 147.588/250.0, 71, 1350
23:39:31.131835, 1, 5, 0, 1721/11019, 93.31400000000001/250.0, 43, 1410
