Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:37:20.811369, 0, 16, 13, 1/11019, 114.561/250.0, 79, 1815
05:37:20.829821, 1, 2, 1, 1/11019, 22.801000000000002/250.0, 41, 315
05:37:20.838981, 2, 2, 1, 1/11019, 21.087/250.0, 44, 420
05:37:20.847955, 3, 2, 1, 99/11016, 32.081/250.0, 51, 1350
05:37:21.851449, 0, 17, 2, 1/11019, 109.104/250.0, 78, 1815
05:37:21.854868, 1, 35, 17, 1/11019, 62.104/250.0, 42, 1725
05:37:21.858523, 2, 41, 19, 1/11019, 60.75/250.0, 45, 1425
05:37:21.860456, 3, 32, 10, 99/11016, 84.152/250.0, 53, 1890
05:37:22.911359, 0, 0, 0, 197/11019, 73.761/250.0, 76, 1350
05:37:22.913982, 1, 3, 0, 217/11019, 61.941/250.0, 42, 1725
05:37:22.916339, 2, 0, 0, 197/11019, 58.819/250.0, 45, 1350
05:37:22.919035, 3, 0, 0, 99/11016, 57.01/250.0, 52, 540
05:37:23.924212, 0, 1, 0, 305/11019, 73.85000000000001/250.0, 75, 1350
05:37:23.927409, 1, 2, 0, 309/11019, 47.187/250.0, 42, 1350
05:37:23.930564, 2, 4, 0, 305/11019, 55.992000000000004/250.0, 45, 1350
05:37:23.933432, 3, 0, 0, 99/11016, 27.091/250.0, 51, 435
05:37:24.936762, 0, 2, 0, 557/11019, 73.663/250.0, 74, 1350
05:37:24.938951, 1, 0, 0, 557/11019, 47.338/250.0, 42, 1350
05:37:24.941140, 2, 0, 0, 429/11019, 56.61/250.0, 45, 1350
05:37:24.943761, 3, 0, 0, 99/11016, 25.36/250.0, 51, 330
05:37:25.947330, 0, 9, 0, 813/11019, 73.001/250.0, 74, 1350
05:37:25.949468, 1, 0, 0, 813/11019, 47.088/250.0, 42, 1350
05:37:25.951579, 2, 0, 0, 813/11019, 56.248000000000005/250.0, 45, 1350
05:37:25.955611, 3, 0, 0, 99/11016, 25.392/250.0, 51, 330
05:37:26.959082, 0, 0, 0, 813/11019, 72.791/250.0, 73, 1350
05:37:26.961235, 1, 7, 0, 813/11019, 47.053000000000004/250.0, 42, 1350
05:37:26.963389, 2, 9, 0, 813/11019, 56.067/250.0, 46, 1350
05:37:26.966063, 3, 0, 0, 99/11016, 25.431/250.0, 51, 300
05:37:27.969606, 0, 5, 0, 1055/11019, 72.081/250.0, 72, 1350
05:37:27.972266, 1, 0, 0, 1043/11019, 47.389/250.0, 42, 1350
05:37:27.975046, 2, 0, 0, 1037/11019, 56.703/250.0, 46, 1350
05:37:27.978135, 3, 0, 0, 99/11016, 25.154/250.0, 51, 300
05:37:28.981458, 0, 36, 14, 8889/11019, 259.934/250.0, 76, 1560
05:37:28.990993, 1, 4, 0, 8889/11019, 160.316/250.0, 47, 1680
05:37:28.996185, 2, 7, 0, 8889/11019, 260.899/250.0, 50, 1710
05:37:28.998662, 3, 0, 0, 99/11016, 24.784/250.0, 51, 300
05:37:30.002278, 0, 62, 31, 8889/11019, 105.147/250.0, 74, 1845
05:37:30.004438, 1, 44, 20, 8889/11019, 104.693/250.0, 45, 1890
05:37:30.006521, 2, 57, 27, 8889/11019, 82.81/250.0, 49, 1875
05:37:30.009115, 3, 0, 0, 99/11016, 25.05/250.0, 51, 300
05:37:31.012381, 0, 0, 0, 8889/11019, 106.505/250.0, 73, 1845
05:37:31.014694, 1, 51, 24, 8889/11019, 76.629/250.0, 45, 1890
05:37:31.017175, 2, 37, 19, 8889/11019, 82.898/250.0, 48, 1875
05:37:31.019916, 3, 0, 0, 99/11016, 25.279/250.0, 51, 300
05:37:32.023151, 0, 0, 0, 8889/11019, 71.449/250.0, 71, 1350
05:37:32.029350, 1, 0, 0, 8889/11019, 48.293/250.0, 44, 1350
05:37:32.033045, 2, 0, 0, 8889/11019, 58.341/250.0, 47, 1350
05:37:32.035945, 3, 0, 0, 99/11016, 25.225/250.0, 51, 300
05:37:33.038390, 0, 9, 0, 8889/11019, 71.081/250.0, 70, 1350
05:37:33.042347, 1, 0, 0, 8889/11019, 48.205/250.0, 44, 1350
05:37:33.045612, 2, 0, 0, 8889/11019, 57.855000000000004/250.0, 47, 1350
05:37:33.048963, 3, 0, 0, 99/11016, 25.114/250.0, 51, 300
05:37:34.052212, 0, 0, 0, 8889/11019, 70.235/250.0, 70, 1350
