Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:55:32.408140, 0, 17, 14, 1/11019, 111.08200000000001/250.0, 79, 1815
13:55:32.417216, 1, 2, 1, 1/11019, 25.647000000000002/250.0, 42, 315
13:55:32.426186, 2, 0, 0, 1/11019, 16.647000000000002/250.0, 43, 300
13:55:32.435041, 3, 0, 0, 99/11016, 24.934/250.0, 49, 300
13:55:33.438775, 0, 17, 2, 1/11019, 109.137/250.0, 78, 1815
13:55:33.440950, 1, 37, 13, 1/11019, 74.685/250.0, 44, 1890
13:55:33.443120, 2, 13, 8, 1/11019, 80.825/250.0, 45, 1875
13:55:33.445856, 3, 0, 0, 99/11016, 24.688/250.0, 49, 300
13:55:34.449545, 0, 0, 0, 175/11019, 72.99/250.0, 76, 1350
13:55:34.451917, 1, 0, 0, 179/11019, 74.952/250.0, 45, 1890
13:55:34.454129, 2, 23, 7, 181/11019, 80.296/250.0, 46, 1875
13:55:34.457129, 3, 0, 0, 99/11016, 24.757/250.0, 49, 300
13:55:35.460796, 0, 2, 0, 557/11019, 73.356/250.0, 75, 1350
13:55:35.462983, 1, 3, 0, 557/11019, 48.388/250.0, 44, 1350
13:55:35.465911, 2, 6, 0, 557/11019, 56.137/250.0, 45, 1350
13:55:35.468522, 3, 0, 0, 99/11016, 24.62/250.0, 49, 300
13:55:36.472523, 0, 5, 0, 783/11019, 72.747/250.0, 74, 1350
13:55:36.479521, 1, 4, 0, 825/11019, 47.738/250.0, 44, 1350
13:55:36.484284, 2, 5, 0, 793/11019, 56.745000000000005/250.0, 45, 1350
13:55:36.489083, 3, 0, 0, 99/11016, 24.611/250.0, 49, 300
13:55:37.491830, 0, 7, 0, 8377/11019, 198.108/250.0, 78, 1485
13:55:37.566619, 1, 13, 5, 8377/11019, 232.622/250.0, 48, 1695
13:55:37.653048, 2, 40, 15, 8377/11019, 244.127/250.0, 50, 1605
13:55:37.658487, 3, 0, 0, 99/11016, 24.077/250.0, 49, 300
13:55:38.661775, 0, 57, 23, 8377/11019, 106.904/250.0, 76, 1830
13:55:38.663896, 1, 82, 44, 8377/11019, 77.447/250.0, 46, 1890
13:55:38.665998, 2, 61, 40, 8377/11019, 81.616/250.0, 48, 1860
13:55:38.668626, 3, 0, 0, 99/11016, 24.392/250.0, 49, 300
13:55:39.671756, 0, 46, 29, 8377/11019, 106.122/250.0, 75, 1830
13:55:39.673739, 1, 7, 3, 8377/11019, 77.471/250.0, 46, 1890
13:55:39.675686, 2, 3, 0, 8377/11019, 82.063/250.0, 48, 1860
13:55:39.678127, 3, 0, 0, 99/11016, 24.603/250.0, 49, 300
13:55:40.681234, 0, 6, 0, 8377/11019, 71.65/250.0, 73, 1350
13:55:40.683298, 1, 2, 0, 8377/11019, 48.253/250.0, 45, 1350
13:55:40.687233, 2, 3, 0, 8377/11019, 57.608000000000004/250.0, 47, 1350
13:55:40.689660, 3, 0, 0, 99/11016, 24.289/250.0, 49, 300
13:55:41.693995, 0, 0, 0, 8377/11019, 120.119/250.0, 75, 1830
13:55:41.697334, 1, 14, 4, 8377/11019, 100.672/250.0, 47, 1890
13:55:41.699906, 2, 30, 10, 8377/11019, 114.876/250.0, 49, 1860
13:55:41.703290, 3, 0, 0, 99/11016, 24.128/250.0, 49, 300
13:55:42.707029, 0, 49, 13, 8377/11019, 134.787/250.0, 74, 1830
13:55:42.709848, 1, 56, 11, 8377/11019, 101.087/250.0, 47, 1890
13:55:42.714222, 2, 60, 17, 8377/11019, 114.97200000000001/250.0, 49, 1860
13:55:42.716949, 3, 0, 0, 99/11016, 24.029/250.0, 49, 300
13:55:43.720467, 0, 63, 15, 8377/11019, 134.276/250.0, 74, 1830
13:55:43.723075, 1, 57, 11, 8377/11019, 83.656/250.0, 47, 1890
13:55:43.725962, 2, 63, 18, 8377/11019, 118.507/250.0, 50, 1860
13:55:43.729973, 3, 0, 0, 99/11016, 24.047/250.0, 49, 300
13:55:44.734087, 0, 62, 13, 8377/11019, 133.69/250.0, 74, 1830
13:55:44.736990, 1, 57, 10, 8377/11019, 101.308/250.0, 48, 1890
13:55:44.741355, 2, 63, 18, 8377/11019, 115.511/250.0, 50, 1860
13:55:44.744298, 3, 0, 0, 99/11016, 23.958000000000002/250.0, 49, 300
13:55:45.747340, 0, 62, 14, 8377/11019, 119.045/250.0, 73, 1830
13:55:45.749695, 1, 56, 11, 8377/11019, 94.179/250.0, 49, 1890
13:55:45.752068, 2, 64, 18, 8377/11019, 119.019/250.0, 50, 1860
13:55:45.754868, 3, 0, 0, 99/11016, 24.379/250.0, 49, 300
13:55:46.758531, 0, 62, 14, 8377/11019, 118.328/250.0, 73, 1830
13:55:46.761497, 1, 57, 11, 8377/11019, 101.811/250.0, 48, 1890
13:55:46.764111, 2, 65, 18, 8377/11019, 115.777/250.0, 51, 1860
13:55:46.769085, 3, 0, 0, 99/11016, 24.194/250.0, 49, 300
13:55:47.773322, 0, 62, 14, 8377/11019, 120.57300000000001/250.0, 73, 1830
