Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:27:01.005397, 0, 0, 0, 1/11019, 7.284/250.0, 34, 300
13:27:01.014665, 1, 0, 0, 1/11019, 19.841/250.0, 39, 300
13:27:01.031507, 2, 0, 0, 1/11019, 2.83/250.0, 39, 300
13:27:01.040747, 3, 0, 0, 98/11016, 23.683/250.0, 46, 300
13:27:02.044916, 0, 0, 0, 1/11019, 7.864/250.0, 34, 300
13:27:02.047633, 1, 0, 0, 1/11019, 19.443/250.0, 39, 300
13:27:02.050647, 2, 0, 0, 1/11019, 3.233/250.0, 39, 300
13:27:02.053399, 3, 0, 0, 98/11016, 23.612000000000002/250.0, 46, 300
13:27:03.057176, 0, 0, 0, 193/11019, 56.373000000000005/250.0, 35, 1350
13:27:03.059789, 1, 0, 0, 185/11019, 38.431/250.0, 40, 1350
13:27:03.062247, 2, 0, 0, 191/11019, 41.217/250.0, 40, 1350
13:27:03.064927, 3, 0, 0, 98/11016, 24.240000000000002/250.0, 46, 300
13:27:04.068357, 0, 4, 0, 557/11019, 57.738/250.0, 36, 1350
13:27:04.072544, 1, 3, 0, 557/11019, 46.332/250.0, 41, 1350
13:27:04.075021, 2, 4, 0, 557/11019, 53.127/250.0, 41, 1350
13:27:04.077831, 3, 0, 0, 98/11016, 23.697/250.0, 46, 300
13:27:05.081406, 0, 7, 0, 803/11019, 57.798/250.0, 36, 1350
13:27:05.083630, 1, 4, 0, 843/11019, 46.32/250.0, 41, 1350
13:27:05.085964, 2, 7, 0, 843/11019, 54.701/250.0, 41, 1350
13:27:05.089184, 3, 0, 0, 98/11016, 24.196/250.0, 46, 300
13:27:06.136329, 0, 28, 10, 8377/11019, 345.927/250.0, 43, 1680
13:27:06.138503, 1, 16, 6, 8377/11019, 230.525/250.0, 46, 1815
13:27:06.166317, 2, 31, 12, 8377/11019, 230.005/250.0, 46, 1785
13:27:06.171833, 3, 0, 0, 98/11016, 23.436/250.0, 46, 300
13:27:07.175851, 0, 73, 42, 8377/11019, 78.542/250.0, 39, 1905
13:27:07.178039, 1, 82, 47, 8377/11019, 74.44800000000001/250.0, 43, 1890
13:27:07.180496, 2, 70, 40, 8377/11019, 79.32900000000001/250.0, 44, 1875
13:27:07.183123, 3, 0, 0, 98/11016, 24.216/250.0, 46, 300
13:27:08.186617, 0, 3, 0, 8377/11019, 78.756/250.0, 39, 1905
13:27:08.188822, 1, 5, 2, 8377/11019, 74.614/250.0, 43, 1890
13:27:08.191360, 2, 3, 0, 8377/11019, 79.342/250.0, 44, 1875
13:27:08.194122, 3, 0, 0, 98/11016, 24.202/250.0, 46, 300
13:27:09.197382, 0, 3, 0, 8377/11019, 58.436/250.0, 38, 1350
13:27:09.201174, 1, 2, 0, 8377/11019, 47.12/250.0, 42, 1350
13:27:09.203593, 2, 3, 0, 8377/11019, 55.214/250.0, 43, 1350
13:27:09.206108, 3, 0, 0, 98/11016, 23.905/250.0, 46, 300
13:27:10.210859, 0, 19, 6, 8377/11019, 93.76/250.0, 40, 1905
13:27:10.213969, 1, 19, 5, 8377/11019, 97.346/250.0, 44, 1890
