Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
0.893036, 1.50395, 0.788849, 5.30951, 0.911255, 0.908295, 3.45288, 0.876511, 0.834473, 0.783279, 3.7951, 0.856873, 0.810593, 0.891861, 0.878403, 0.890152, 24.385, 51.4278, 10.000000, 1.002304
0.893372, 0.0696259, 0.0799561, 0.342728, 0.108978, 2.19225, 0.157715, 0.769577, 0.181274, 0.693573, 8.50648, 0.227753, 0.11792, 0.321701, 0.100204, 0.140289, 14.9034, 42.5285, 3.000000, 2.003657
0.0798187, 0.124298, 0.0692444, 0.103714, 0.134766, 9.52286, 0.910019, 3.58374, 0.208618, 1.07738, 0.0673218, 0.151779, 0.246887, 0.296371, 0.0759277, 0.0887146, 16.7415, 44.4515, 3.000000, 3.004933
0.107285, 0.328491, 0.0832214, 0.126633, 1.90405, 3.27037, 0.79657, 10.5921, 0.453201, 0.184128, 0.0600739, 0.471329, 0.0983429, 0.0910187, 0.0912933, 0.0965729, 18.7547, 46.838, 3.000000, 4.006306
0.0758972, 0.285889, 0.361603, 0.26561, 1.87033, 6.23473, 3.93991, 1.35693, 1.2092, 0.295013, 0.101822, 0.719498, 0.257996, 0.250336, 0.0622406, 0.0730133, 17.36, 45.2833, 3.000000, 5.007594
0.169022, 0.0692291, 0.0947418, 0.558411, 0.41954, 0.0588684, 13.8672, 0.0756378, 0.207092, 0.119263, 0.411942, 0.0639801, 0.319397, 0.30603, 0.0627136, 0.0798645, 16.8829, 44.6474, 3.000000, 6.009067
1.21573, 1.1472, 1.15125, 1.2879, 1.68779, 1.45453, 4.74623, 1.13351, 1.21625, 6.33636, 1.31505, 1.14755, 1.23532, 1.97696, 1.04527, 1.35863, 29.4555, 57.5408, 12.000000, 7.010521
0.374481, 0.266235, 0.0532227, 0.2901, 0.488541, 0.0654449, 0.618942, 5.24753, 0.0604858, 4.5378, 0.168106, 0.192383, 0.158508, 0.476318, 0.0702057, 0.198517, 13.2668, 40.8409, 3.000000, 8.011847
2.71909, 2.90587, 2.87396, 2.60916, 2.73776, 2.74744, 2.66245, 4.52684, 2.57092, 2.72195, 2.62022, 2.67255, 2.73871, 2.97026, 2.85234, 2.68608, 45.6156, 73.7638, 21.000000, 9.012600
0.620041, 0.677689, 1.50731, 0.773163, 7.52295, 0.579727, 0.754669, 0.812103, 0.687271, 3.08968, 0.788834, 2.27838, 0.792572, 0.789597, 0.665405, 0.879608, 23.219, 50.3312, 6.000000, 10.013765
