Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
3.63545, 1.09959, 3.60844, 5.41745, 4.19708, 1.24481, 0.997452, 3.52478, 0.957092, 5.15558, 4.82582, 0.92395, 1.3766, 1.72835, 0.921326, 6.47672, 46.0905, 75.787, 17.000000, 1.002304
0.285858, 0.341965, 2.8551, 6.97293, 0.24057, 0.529465, 0.601913, 0.309708, 0.997437, 0.221725, 9.56619, 0.21788, 0.47403, 0.450073, 6.91269, 3.20691, 34.1844, 64.4486, 8.000000, 2.003357
0.222107, 0.291443, -65525.2, 0.502625, 9.4133, 0.958282, 0.696396, 2.00923, 0.208878, 0.172684, 0.168564, 0.137146, 0.370651, 10.74, 0.89447, 0.490234, -65498, 69.1043, 9.000000, 3.004493
1.3103, 6.15108, 4.5126, 3.50658, 5.41124, 0.989853, 0.623688, 9.64185, 0.306778, 0.6259, 0.472855, 0.573502, 0.168503, 13.0936, 0.482437, 0.0817261, 47.9525, 79.7255, 9.000000, 4.005461
1.48221, 1.65445, 2.39963, 8.01556, 8.30042, 2.19472, 1.7395, 1.91614, 0.741959, 1.12247, 0.349152, 1.00838, 1.15225, 9.3109, 2.6817, 1.31891, 45.3883, 77.4465, 10.000000, 5.006341
0.760681, 0.893463, 11.9925, 0.513855, 0.533188, 0.552673, 13.3714, 0.823822, 0.255264, 0.517365, 0.178604, 0.339478, 1.06137, 12.2331, 1.10919, 1.33237, 46.4684, 78.5782, 10.000000, 6.007543
3.03595, 3.12152, 9.39182, 2.98018, 3.23268, 3.47742, 6.1017, 7.24718, 3.21837, 4.36005, 3.56953, 3.29597, 3.56265, 10.3371, 3.84943, 4.31587, 75.0974, 105.975, 35.000000, 7.008422
0.358307, 0.33371, 0.751251, 0.349609, 3.77161, 3.98349, 6.22815, 0.83374, 5.79053, 3.10539, 0.561951, 0.481232, 0.817841, 7.03743, 0.516022, 0.770447, 35.6907, 68.0739, 9.000000, 8.009633
3.26941, 2.9406, 3.16125, 2.97977, 3.51125, 8.89093, 3.19254, 3.0379, 3.38921, 3.26929, 9.51407, 3.36012, 3.5423, 7.24066, 5.43365, 3.52638, 70.2593, 100.782, 31.000000, 9.010395
4.96774, 5.20338, 6.33321, 4.84024, 7.81355, 5.6093, 6.48395, 5.14403, 5.33308, 5.37946, 6.70697, 5.40894, 6.72169, 7.34309, 5.25259, 5.43907, 93.9803, 126.549, 44.000000, 10.011826
0.184448, 0.0768433, 0.0600586, 0.103012, 12.6895, 0.615341, 0.197433, 0.271942, 0.17276, 0.157852, 12.6219, 0.0896912, 0.165344, 12.723, 0.300247, 0.241699, 40.6712, 70.7852, 9.000000, 11.013371
0.282776, 0.13559, 0.284912, 0.105896, 2.97256, 5.40958, 7.1949, 0.700531, 0.595749, 0.393036, 14.1081, 0.509003, 4.02325, 3.5529, 4.08858, 4.26443, 48.6218, 80.4774, 10.000000, 12.014730
0.263596, 0.085083, 0.263229, 0.0661774, 4.11856, 1.59627, 6.51932, 3.54449, 3.26892, 1.26486, 3.89409, 7.08026, 7.22478, 2.1545, 5.27599, 2.05437, 48.6745, 81.5535, 10.000000, 13.015826
0.942566, 0.0769958, 0.329147, 0.0587616, 0.470673, 10.9861, 3.07515, 0.483887, 0.200409, 12.2889, 0.777435, 0.475189, 0.896484, 0.598099, 0.794296, 12.2346, 44.6886, 76.096, 10.000000, 14.016929
2.1335, 0.0932922, 0.267548, 0.0587769, 1.12296, 1.48573, 10.9235, 0.670731, 0.104782, 7.40245, 0.619247, 7.26361, 9.38739, 0.806641, 0.604675, 5.795, 48.7398, 80.4869, 10.000000, 15.017925
