Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
5.63979, 1.57985, 3.808, 0.953659, 1.14941, 4.08368, 3.85411, 1.06909, 1.06932, 1.10754, 1.06972, 1.19212, 5.55087, 1.26027, 3.74144, 1.1526, 38.2815, 66.3806, 15.000000, 1.002105
0.353119, 0.275391, 2.68462, 6.81108, 0.337967, 9.4308, 0.307724, 0.228088, 0.142776, 0.140244, 0.177612, 0.319504, 0.219788, 0.319168, 0.844864, 0.348297, 22.941, 51.5708, 6.000000, 2.003511
0.154922, 0.0611115, 10.8231, 1.3914, 0.521683, 0.267136, 0.27713, 0.220886, 0.287415, 8.12834, 1.08629, 3.23784, 0.112686, 0.100937, 0.99411, 0.275604, 27.9406, 57.465, 6.000000, 3.004620
0.358368, 1.59871, 7.64987, 6.30505, 0.38446, 0.0785065, 0.413864, 0.133209, 1.91512, 0.572647, 4.74738, 9.121, 0.629959, 0.412552, 0.413803, 0.626389, 35.3609, 65.4417, 6.000000, 4.005652
1.69559, 1.69249, 3.70779, 6.65602, 0.274231, 0.0710754, 0.138901, 0.159286, 2.73141, 3.30058, 4.13876, 5.84018, 0.904846, 1.29532, 0.924286, 0.365067, 33.8958, 64.4173, 7.000000, 5.006853
0.178864, 0.35733, 0.0593109, 14.8992, 0.171234, 0.335434, 0.128952, 0.136215, 0.324234, 0.420471, 0.226608, 14.5803, 0.555542, 0.50441, 1.55013, 0.205856, 34.6341, 64.5817, 6.000000, 6.008371
2.20012, 2.18988, 2.44244, 9.48843, 2.58109, 2.11728, 3.07249, 2.11548, 2.44077, 5.80528, 2.20253, 7.8663, 2.83681, 2.32178, 2.66254, 3.19431, 55.5375, 85.5924, 26.000000, 7.009704
5.65492, 0.563034, 2.95268, 0.932404, 0.321625, 0.0936279, 0.43515, 0.281403, 3.1458, 1.9716, 4.43172, 0.609879, 0.520508, 0.162186, 1.20943, 1.09918, 24.3851, 53.7748, 6.000000, 8.011370
3.02589, 2.97954, 6.79063, 2.99318, 3.537, 3.61121, 3.59633, 3.56723, 6.85429, 3.27588, 3.66429, 3.53986, 3.75664, 3.74651, 3.70277, 3.67212, 62.3134, 92.3999, 32.000000, 9.012312
2.81409, 7.59264, 3.08519, 2.72359, 2.38492, 2.34711, 2.34564, 2.34436, 1.74307, 7.54179, 1.82425, 3.37907, 2.72522, 2.35246, 2.23256, 2.40262, 49.8386, 79.3473, 21.000000, 10.013734
0.355438, 5.76743, 7.40204, 0.0639801, 0.499664, 0.309036, 0.407486, 0.455978, 0.0960846, 9.61264, 3.78166, 0.0835876, 0.196335, 0.113068, 0.427002, 0.0918884, 29.6633, 58.918, 6.000000, 11.014904
1.71283, 3.89355, 0.839188, 9.99918, 0.705231, 0.639847, 0.459839, 0.376556, 5.53461, 1.44731, 8.26622, 1.31821, 0.32196, 0.0806274, 0.34819, 0.0818329, 36.0252, 65.9283, 6.000000, 12.016083
7.20042, 0.895538, 1.71811, 5.50957, 0.816071, 1.38513, 0.706085, 0.719788, 4.06909, 4.26147, 5.16911, 1.01477, 0.796539, 0.264435, 1.11247, 0.0756683, 35.7143, 66.2324, 7.000000, 13.017428
7.93233, 5.91818, 0.419327, 0.28978, 0.210419, 0.607574, 0.656525, 0.395172, 2.51276, 0.584366, 2.15742, 9.03026, 0.135605, 0.0707855, 0.287155, 0.114319, 31.322, 61.0636, 6.000000, 14.018811
1.52066, 4.60277, 7.6637, 1.13046, 0.287262, 1.02907, 1.30167, 0.649643, 10.4856, 3.22131, 0.30069, 0.073822, 0.127319, 0.256104, 0.880142, 0.796448, 34.3266, 64.5121, 6.000000, 15.019799
2.4993, 3.01146, 3.04213, 5.40388, 3.118, 2.35458, 2.71597, 3.24031, 6.63712, 2.14984, 3.01491, 2.57127, 3.19066, 2.13866, 3.06657, 2.69843, 50.8531, 80.9111, 28.000000, 16.020604
2.78189, 2.7085, 2.71707, 3.8291, 2.76045, 2.70392, 2.74991, 2.79736, 3.62666, 2.72725, 2.66156, 2.71602, 2.85947, 2.83177, 2.81494, 2.77919, 46.0651, 75.4842, 38.000000, 17.021512
6.07089, 3.52727, 3.7961, 3.53145, 3.25752, 3.42094, 2.99988, 3.59578, 6.23811, 3.25603, 3.27025, 3.26285, 3.59445, 3.50485, 3.45558, 3.55171, 60.3337, 92.1019, 34.000000, 18.022402
3.77061, 3.50441, 3.46991, 3.50616, 3.54884, 3.55826, 3.65279, 3.44174, 3.43492, 3.4537, 3.53093, 3.57037, 4.05673, 3.76454, 3.69347, 3.58034, 57.5377, 89.4108, 40.000000, 19.023267
3.83899, 3.74268, 3.6194, 3.53407, 3.71021, 3.71469, 3.87308, 3.64093, 3.56627, 3.69838, 3.63213, 3.745, 3.88339, 4.00795, 3.95601, 3.94751, 60.1107, 92.1436, 42.000000, 20.024072
3.79305, 3.79472, 3.68375, 3.70584, 3.76942, 3.85464, 4.12465, 4.08456, 3.81294, 3.9458, 3.9416, 3.7641, 3.96648, 3.9384, 3.89073, 3.86989, 61.9406, 94.1313, 42.000000, 21.024897
3.43083, 3.44048, 3.45024, 3.52887, 3.65965, 3.82602, 3.72852, 3.68042, 3.61537, 3.5916, 3.63876, 3.37724, 3.65456, 3.67653, 4.07849, 3.39624, 57.7738, 89.5473, 42.000000, 22.025762
3.58159, 3.71411, 3.44037, 3.67567, 3.68303, 3.71167, 3.81819, 3.77345, 3.96613, 3.67975, 3.9319, 3.6747, 3.77948, 3.93701, 3.79866, 3.81393, 59.9796, 91.9099, 42.000000, 23.026649
3.72459, 3.78148, 3.8022, 3.73131, 3.98929, 4.14357, 4.04198, 3.80147, 3.81071, 3.96693, 3.81441, 4.09355, 4.1283, 3.97644, 4.04749, 3.92105, 62.7748, 94.9214, 41.000000, 24.027533
