Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:09:36.085689, 0, 0, 0, 1/11019, 10.125/250.0, 48, 300
23:09:36.095119, 1, 0, 0, 1/11019, 21.576/250.0, 49, 300
23:09:36.108137, 2, 0, 0, 1/11019, 6.8100000000000005/250.0, 58, 300
23:09:36.117306, 3, 0, 0, 99/11016, 30.039/250.0, 66, 300
23:09:37.121672, 0, 0, 0, 1/11019, 9.861/250.0, 48, 300
23:09:37.125664, 1, 0, 0, 1/11019, 21.665/250.0, 49, 300
23:09:37.129019, 2, 0, 0, 1/11019, 7.227/250.0, 57, 300
23:09:37.131806, 3, 0, 0, 99/11016, 29.906000000000002/250.0, 65, 300
23:09:38.139175, 0, 0, 0, 24/11019, 9.873/250.0, 48, 300
23:09:38.146313, 1, 0, 0, 24/11019, 21.517/250.0, 49, 300
23:09:38.155141, 2, 0, 0, 24/11019, 8.292/250.0, 57, 300
23:09:38.163031, 3, 0, 0, 122/11016, 29.729/250.0, 65, 300
23:09:39.166555, 0, 5, 0, 303/11019, 60.015/250.0, 49, 1350
23:09:39.170534, 1, 5, 0, 303/11019, 53.295/250.0, 49, 1350
23:09:39.172634, 2, 4, 0, 303/11019, 63.437000000000005/250.0, 58, 1350
23:09:39.174684, 3, 0, 0, 401/11016, 63.811/250.0, 66, 1350
23:09:40.178013, 0, 1, 0, 333/11019, 59.879/250.0, 49, 1350
23:09:40.180323, 1, 0, 0, 333/11019, 53.11/250.0, 49, 1350
23:09:40.185645, 2, 0, 0, 333/11019, 63.282000000000004/250.0, 59, 1350
23:09:40.190166, 3, 0, 0, 431/11016, 63.899/250.0, 66, 1350
23:09:41.195464, 0, 0, 0, 813/11019, 60.197/250.0, 50, 1350
23:09:41.199406, 1, 0, 0, 557/11019, 53.212/250.0, 49, 1350
23:09:41.201459, 2, 0, 0, 557/11019, 62.884/250.0, 59, 1350
23:09:41.203685, 3, 1, 0, 655/11016, 63.878/250.0, 66, 1350
23:09:42.207092, 0, 9, 0, 813/11019, 59.872/250.0, 49, 1350
23:09:42.209237, 1, 7, 0, 813/11019, 52.637/250.0, 49, 1350
23:09:42.212566, 2, 10, 0, 813/11019, 63.318/250.0, 58, 1350
23:09:42.216505, 3, 7, 0, 911/11016, 63.626000000000005/250.0, 66, 1350
23:09:43.221928, 0, 0, 0, 865/11019, 60.06/250.0, 49, 1350
23:09:43.227172, 1, 0, 0, 873/11019, 53.101/250.0, 49, 1350
23:09:43.230216, 2, 0, 0, 813/11019, 62.998000000000005/250.0, 59, 1350
23:09:43.233134, 3, 0, 0, 911/11016, 63.783/250.0, 66, 1350
23:09:44.237041, 0, 5, 0, 1209/11019, 60.328/250.0, 49, 1350
23:09:44.239632, 1, 4, 0, 1191/11019, 53.531/250.0, 49, 1350
