Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
1.04501, 0.784332, 0.772552, 0.776169, 1.01904, 0.858124, 0.770645, 3.70988, 0.770508, 0.796341, 0.718933, 0.777527, 0.86528, 5.51634, 1.74809, 3.82784, 24.7566, 52.0626, 10.000000, 1.002085
0.152618, 0.0684052, 0.0984802, 0.0991821, 0.140564, 0.119095, 0.181549, 0.377914, 0.0926208, 0.179123, 0.854752, 0.0834503, 0.326706, 0.179886, 2.54584, 9.213, 14.7132, 42.9155, 3.000000, 2.003497
0.538696, 0.203003, 0.0576477, 0.059906, 0.078598, 0.0617676, 0.110046, 0.088028, 0.0611877, 0.0751801, 0.170395, 0.199432, 0.161606, 2.51768, 6.35001, 4.81027, 15.5435, 43.7078, 3.000000, 3.005057
1.43254, 1.28963, 1.68605, 1.09457, 1.0831, 1.09045, 1.05353, 1.64772, 1.10992, 9.19954, 1.28459, 2.18501, 2.61516, 1.21904, 2.47911, 1.30521, 31.7752, 60.4024, 12.000000, 4.006672
0.472916, 0.912827, 6.57439, 0.439423, 0.470947, 0.462738, 0.464355, 0.481491, 0.440704, 2.18173, 0.71138, 0.751282, 1.60422, 0.682861, 0.54071, 0.507126, 17.6991, 44.9846, 8.000000, 5.007541
1.06021, 1.00993, 1.01648, 1.25346, 1.16425, 1.28096, 1.15273, 1.13258, 1.11736, 1.22281, 1.39951, 1.09377, 1.39876, 2.44077, 1.21931, 8.86095, 27.8238, 55.4904, 13.000000, 6.009101
0.745865, 0.392868, 0.0679779, 9.93121, 0.112061, 0.110519, 0.10701, 0.14389, 0.101212, 0.126862, 0.101456, 0.0974274, 0.266769, 1.97125, 0.361038, 3.7957, 18.4331, 46.79, 3.000000, 7.010228
1.22069, 1.29051, 1.21716, 4.23952, 1.82248, 1.41234, 1.54492, 1.61664, 1.43117, 1.54219, 1.29633, 1.3154, 1.40961, 1.49249, 1.4248, 1.26483, 25.5411, 52.8611, 22.000000, 8.011298
2.5643, 2.46529, 2.64899, 4.56787, 3.10001, 2.64026, 3.04143, 2.99666, 2.46716, 2.4527, 3.31473, 2.73289, 2.99393, 2.79468, 2.672, 2.54248, 45.9954, 75.8181, 20.000000, 9.012159
3.21455, 2.90331, 3.19102, 3.27753, 3.63849, 3.14169, 3.38416, 3.36055, 3.04724, 3.23676, 3.18182, 3.16516, 3.31783, 3.57198, 3.77646, 3.65814, 53.0667, 83.5803, 26.000000, 10.013017
3.19144, 3.20526, 3.20201, 2.99789, 3.341, 3.40952, 3.44191, 3.41812, 3.12538, 3.35959, 3.36418, 3.37375, 3.40494, 3.56058, 3.50096, 3.06841, 52.9649, 83.6224, 25.000000, 11.014016
3.67204, 3.05733, 2.91911, 3.11427, 3.16066, 3.06155, 3.3522, 3.08939, 4.07132, 3.72066, 3.51749, 3.46359, 3.16156, 3.23177, 3.62061, 3.13696, 53.3505, 84.0934, 25.000000, 12.014915
2.96758, 3.24959, 2.99554, 3.42995, 3.22977, 3.50632, 3.74065, 3.28406, 3.14516, 3.20027, 3.36897, 3.24336, 3.29117, 3.23209, 3.28122, 3.21758, 52.3833, 82.9851, 25.000000, 13.015804
3.14249, 3.65422, 3.11673, 3.43462, 3.07635, 3.48911, 3.52887, 3.18579, 3.6506, 3.2581, 3.20862, 3.40782, 3.18056, 3.16553, 3.48688, 3.23643, 53.2227, 83.9084, 26.000000, 14.016738
3.38211, 3.27034, 2.89517, 3.31766, 3.09271, 3.61952, 3.13475, 3.08682, 3.52919, 3.62941, 3.24783, 3.48698, 3.27991, 3.56461, 3.33788, 3.5284, 53.4033, 84.1068, 26.000000, 15.017767
3.0462, 3.17319, 2.90538, 3.66486, 3.42712, 3.21014, 2.89545, 2.93539, 3.35774, 3.3837, 3.09186, 3.29204, 3.38997, 3.36133, 3.82608, 3.2681, 52.2285, 82.8902, 25.000000, 16.020983
3.17418, 3.12367, 3.26204, 2.99503, 3.21509, 3.8815, 3.22887, 3.24472, 3.59268, 3.44142, 3.33839, 4.00308, 3.15401, 3.36404, 3.33588, 3.45816, 53.8128, 84.5598, 25.000000, 17.021980
2.31215, 2.66373, 2.21136, 2.57906, 2.58342, 2.02666, 2.11374, 2.49521, 2.55199, 3.13177, 2.23932, 2.44067, 3.34502, 2.10307, 2.89162, 2.46405, 40.1528, 70.4094, 18.000000, 18.023399
1.49623, 1.14342, 1.3611, 2.61594, 1.0843, 1.02934, 1.11641, 1.57578, 2.08661, 1.20172, 1.05946, 1.06801, 1.22192, 1.0517, 2.0302, 1.20529, 22.3474, 50.6417, 15.000000, 19.024472
2.63837, 2.41165, 2.71506, 2.1089, 2.28429, 2.85956, 2.40691, 2.25252, 2.30141, 3.06081, 2.38043, 2.69006, 2.18932, 2.77606, 2.3923, 3.59668, 41.0643, 70.8193, 17.000000, 20.025390
1.65739, 2.1064, 1.80179, 1.74005, 1.32018, 1.48561, 1.97479, 1.31499, 2.23178, 2.54964, 2.65915, 2.49529, 2.10745, 1.78874, 2.37621, 2.12238, 31.7318, 61.3082, 11.000000, 21.026590
0.772034, 0.752289, 0.733276, 0.722336, 0.543869, 0.646042, 0.736038, 0.30722, 0.385284, 0.52478, 0.765854, 1.01628, 0.199844, 0.178375, 0.290604, 7.56352, 16.1376, 43.4402, 7.000000, 22.027575
2.45801, 2.92386, 2.77055, 2.45451, 2.66267, 2.34401, 2.34016, 2.52669, 2.15701, 2.67914, 2.46811, 2.45969, 2.28825, 2.39703, 2.34203, 2.61963, 39.8914, 69.1477, 17.000000, 23.028416
2.71033, 2.50528, 2.6763, 2.89984, 1.89119, 2.63687, 1.98209, 2.56438, 3.23386, 2.63522, 2.92232, 2.6032, 2.6559, 2.42706, 3.27827, 2.81493, 42.437, 72.1964, 17.000000, 24.029408
1.97914, 2.36922, -65533.8, 2.47905, 2.58411, 2.82771, 2.23894, 2.41721, 2.51627, 2.52373, 2.297, 2.14578, 2.64804, 2.88213, 2.90535, 2.49142, -65496.5, 69.2511, 16.000000, 25.030500
2.95737, 2.7435, 2.79533, 2.5295, 2.13838, 3.00102, 2.01483, 2.14049, 2.43236, 1.96973, 2.27913, 2.48045, 2.38947, 2.7041, 2.08986, 2.23027, 38.8958, 68.6154, 15.000000, 26.031437
2.04153, 2.42308, 1.86823, 2.06023, 2.23538, 2.29085, 2.20483, 2.42828, 2.61829, 2.20187, 2.813, 2.2977, 2.57401, 2.70749, 2.32402, 2.61713, 37.7059, 67.4025, 15.000000, 27.032298
3.05392, 2.46793, 2.0954, 2.52202, 1.25162, 2.07883, 1.95505, 1.75882, 2.44977, 2.75572, 2.60258, 2.14839, 2.53186, 2.45831, 3.21826, 3.03908, 38.3876, 68.0945, 15.000000, 28.033182
1.72334, 2.28902, 2.33536, 2.53381, 2.30171, 1.88683, 2.51845, 1.82117, 2.38855, 2.45789, 3.72099, 2.37961, 2.85191, 2.42934, 2.27971, 3.17329, 39.091, 68.9209, 14.000000, 29.034039
1.99933, 1.9864, 2.14139, 2.19044, 2.315, 2.44278, 2.53183, 2.11086, 1.89386, 3.64235, 2.04858, 1.97415, 3.27312, 3.13443, 2.85721, 2.66278, 39.2045, 68.8975, 15.000000, 30.034924
2.19514, 1.82875, 2.17166, 1.88354, 2.30434, 2.18214, 1.83035, 2.17198, 1.84436, 2.8972, 2.61198, 2.34731, 2.12056, 2.78935, 3.20911, 3.09297, 37.4808, 67.1739, 14.000000, 31.035924
1.2991, 2.23837, 2.02654, 2.23273, 0.792358, 1.12662, 0.782135, 1.22981, 1.18378, 0.803116, 0.440628, 0.222794, 1.20154, 0.743927, 0.957962, 1.56882, 18.8502, 48.0402, 7.000000, 32.036859
1.00682, 1.0242, 1.96584, 1.44154, 1.01068, 0.729706, 0.880661, 1.65292, 1.93159, 2.78247, 1.31184, 1.66699, 1.75616, 1.85233, 1.53038, 2.04001, 24.5842, 53.0282, 11.000000, 33.037755
1.47653, 1.09366, 0.813461, 0.666672, 0.842667, 1.21169, 1.92018, 1.28793, 1.63959, 1.62462, 2.15077, 2.0983, 1.0199, 0.964066, 1.77361, 1.72697, 22.3106, 51.5958, 5.000000, 34.039057
1.00166, 0.672287, 0.491364, 0.701828, 1.24303, 1.80991, 5.23959, 1.21523, 0.852966, 1.11057, 2.19724, 1.49847, 0.627518, 0.577362, 1.54198, 0.614624, 21.3956, 49.1498, 11.000000, 35.039978
2.28944, 2.01025, 1.97911, 2.31064, 1.86104, 2.4944, 1.90567, 2.14774, 1.75014, 2.08171, 3.33618, 1.49509, 2.47955, 2.08578, 2.11752, 1.89351, 34.2378, 62.8722, 15.000000, 36.040981
2.19504, 2.90245, 2.72868, 2.03984, 1.91319, 2.15187, 2.40257, 1.7773, 1.92273, 2.09441, 2.05949, 2.38039, 2.55688, 2.17967, 2.62372, 2.01514, 35.9434, 65.4487, 14.000000, 37.041873
2.26895, 2.54405, 1.73257, 2.16869, 1.7636, 2.45068, 2.38284, 1.55986, 2.1758, 2.26656, 2.02368, 2.34645, 2.79997, 2.53964, 2.63977, 2.83002, 36.4931, 65.9961, 13.000000, 38.042659
2.70131, 2.1333, 1.98135, 2.57669, 2.0634, 2.18913, 2.11147, 3.0601, 2.81935, 2.07977, 1.86531, 2.25992, 2.77664, 2.05205, 2.13785, 2.06938, 36.877, 66.5388, 13.000000, 39.043546
2.63727, 2.41406, 2.44952, 2.7067, 2.44795, 1.63008, 1.98048, 2.90355, 2.88901, 2.26543, 2.77553, 2.01733, 1.66599, 2.00832, 2.4615, 1.47214, 36.7249, 66.4139, 14.000000, 40.044508
