Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:14:17.887208, 0, 0, 0, 1/11019, 9.851/250.0, 49, 300
05:14:17.896145, 1, 0, 0, 1/11019, 21.576/250.0, 50, 300
05:14:17.907868, 2, 0, 0, 1/11019, 4.242/250.0, 55, 300
05:14:17.918333, 3, 0, 0, 98/11016, 29.364/250.0, 63, 300
05:14:18.923137, 0, 0, 0, 1/11019, 9.476/250.0, 48, 300
05:14:18.925880, 1, 0, 0, 1/11019, 21.555/250.0, 50, 300
05:14:18.928938, 2, 0, 0, 1/11019, 5.311/250.0, 55, 300
05:14:18.931527, 3, 0, 0, 98/11016, 28.869/250.0, 63, 300
05:14:19.938958, 0, 0, 0, 24/11019, 11.781/250.0, 48, 300
05:14:19.943741, 1, 1, 0, 181/11019, 51.737/250.0, 50, 1350
05:14:19.949848, 2, 0, 0, 24/11019, 7.426/250.0, 55, 300
05:14:19.954860, 3, 0, 0, 262/11016, 60.522/250.0, 64, 1350
05:14:20.958499, 0, 0, 0, 429/11019, 60.574/250.0, 50, 1350
05:14:20.962521, 1, 3, 0, 557/11019, 53.673/250.0, 51, 1350
05:14:20.964598, 2, 4, 0, 429/11019, 62.561/250.0, 56, 1350
05:14:20.968196, 3, 3, 0, 526/11016, 62.949/250.0, 64, 1350
05:14:21.971645, 0, 5, 0, 727/11019, 60.568/250.0, 50, 1350
05:14:21.974528, 1, 4, 0, 785/11019, 53.897/250.0, 50, 1350
05:14:21.977098, 2, 4, 0, 717/11019, 62.323/250.0, 56, 1350
05:14:21.979464, 3, 4, 0, 824/11016, 62.884/250.0, 64, 1350
05:14:22.983222, 0, 6, 0, 2233/11019, 151.198/250.0, 52, 1350
05:14:22.985157, 1, 26, 11, 8377/11019, 241.006/250.0, 53, 1800
05:14:22.989196, 2, 7, 0, 2233/11019, 213.243/250.0, 60, 1695
05:14:23.004549, 3, 5, 0, 4378/11016, 154.693/250.0, 66, 1770
05:14:24.009357, 0, 21, 8, 8377/11019, 257.142/250.0, 56, 1890
05:14:24.011474, 1, 73, 41, 8377/11019, 80.60000000000001/250.0, 53, 1875
05:14:24.016566, 2, 63, 29, 8377/11019, 227.174/250.0, 60, 1845
05:14:24.021337, 3, 73, 35, 8474/11016, 224.704/250.0, 68, 1860
05:14:25.024502, 0, 75, 39, 8377/11019, 86.524/250.0, 52, 1875
05:14:25.026637, 1, 2, 0, 8377/11019, 79.745/250.0, 53, 1875
05:14:25.028566, 2, 36, 23, 8377/11019, 85.883/250.0, 59, 1845
05:14:25.032301, 3, 25, 16, 8474/11016, 94.005/250.0, 66, 1860
05:14:26.035677, 0, 3, 0, 8377/11019, 69.876/250.0, 51, 1350
05:14:26.037875, 1, 2, 0, 8377/11019, 55.109/250.0, 51, 1350
05:14:26.041716, 2, 7, 0, 8377/11019, 62.031/250.0, 57, 1350
05:14:26.075007, 3, 5, 0, 8474/11016, 63.173/250.0, 65, 1350
05:14:27.078715, 0, 17, 5, 8377/11019, 77.876/250.0, 51, 1350
05:14:27.081275, 1, 16, 6, 8377/11019, 96.931/250.0, 53, 1875
05:14:27.084735, 2, 0, 0, 8377/11019, 61.666000000000004/250.0, 57, 1350
05:14:27.087529, 3, 0, 0, 8474/11016, 99.72500000000001/250.0, 66, 1860
05:14:28.092105, 0, 58, 14, 8377/11019, 131.364/250.0, 53, 1890
05:14:28.095440, 1, 57, 16, 8377/11019, 114.62/250.0, 54, 1875
05:14:28.098556, 2, 21, 5, 8377/11019, 108.881/250.0, 58, 1845
05:14:28.101396, 3, 45, 14, 8474/11016, 125.809/250.0, 67, 1860
05:14:29.107080, 0, 61, 14, 8377/11019, 120.397/250.0, 54, 1890
05:14:29.112424, 1, 57, 16, 8377/11019, 110.193/250.0, 54, 1875
05:14:29.116455, 2, 56, 9, 8377/11019, 97.693/250.0, 59, 1845
05:14:29.119409, 3, 51, 13, 8474/11016, 123.043/250.0, 67, 1860
05:14:30.123400, 0, 60, 14, 8377/11019, 113.156/250.0, 54, 1890
05:14:30.125979, 1, 58, 16, 8377/11019, 115.9/250.0, 54, 1875
05:14:30.129370, 2, 58, 10, 8377/11019, 120.503/250.0, 59, 1845
05:14:30.133226, 3, 52, 12, 8474/11016, 110.494/250.0, 67, 1860
05:14:31.137126, 0, 57, 13, 8377/11019, 110.398/250.0, 54, 1890
05:14:31.140033, 1, 59, 17, 8377/11019, 115.555/250.0, 54, 1875
05:14:31.143525, 2, 56, 9, 8377/11019, 109.94200000000001/250.0, 60, 1845
05:14:31.146625, 3, 51, 13, 8474/11016, 110.827/250.0, 67, 1860
05:14:32.150532, 0, 57, 13, 8377/11019, 132.46/250.0, 55, 1890
05:14:32.153180, 1, 58, 16, 8377/11019, 116.21600000000001/250.0, 54, 1875
05:14:32.156350, 2, 59, 10, 8377/11019, 110.348/250.0, 59, 1845
05:14:32.159424, 3, 52, 12, 8474/11016, 125.96900000000001/250.0, 68, 1860
05:14:33.163513, 0, 58, 14, 8377/11019, 111.092/250.0, 54, 1890
05:14:33.166251, 1, 59, 17, 8377/11019, 116.007/250.0, 54, 1875
05:14:33.169366, 2, 57, 9, 8377/11019, 110.35900000000001/250.0, 60, 1845
05:14:33.171830, 3, 51, 12, 8474/11016, 111.327/250.0, 67, 1860
05:14:34.175621, 0, 58, 14, 8377/11019, 111.528/250.0, 55, 1890
05:14:34.178059, 1, 58, 16, 8377/11019, 115.778/250.0, 55, 1875
05:14:34.180469, 2, 58, 10, 8377/11019, 110.258/250.0, 59, 1845
05:14:34.183094, 3, 51, 12, 8474/11016, 122.927/250.0, 68, 1860
05:14:35.187496, 0, 59, 14, 8377/11019, 111.437/250.0, 54, 1890
05:14:35.190010, 1, 58, 16, 8377/11019, 116.197/250.0, 55, 1875
05:14:35.194335, 2, 56, 9, 8377/11019, 111.031/250.0, 60, 1845
05:14:35.198500, 3, 51, 13, 8474/11016, 111.56700000000001/250.0, 68, 1860
05:14:36.203857, 0, 58, 13, 8377/11019, 120.309/250.0, 55, 1890
05:14:36.206748, 1, 58, 16, 8377/11019, 113.60000000000001/250.0, 55, 1875
05:14:36.211290, 2, 58, 9, 8377/11019, 89.686/250.0, 60, 1845
05:14:36.213951, 3, 52, 12, 8474/11016, 111.825/250.0, 68, 1860
05:14:37.217966, 0, 60, 15, 8377/11019, 122.159/250.0, 55, 1890
05:14:37.220529, 1, 57, 17, 8377/11019, 93.712/250.0, 54, 1875
05:14:37.224040, 2, 60, 10, 8377/11019, 106.735/250.0, 60, 1845
05:14:37.227044, 3, 55, 13, 8474/11016, 126.745/250.0, 68, 1860
05:14:38.230764, 0, 58, 13, 8377/11019, 111.592/250.0, 56, 1890
05:14:38.234062, 1, 38, 8, 8377/11019, 106.533/250.0, 55, 1875
05:14:38.238138, 2, 60, 10, 8377/11019, 110.468/250.0, 60, 1845
05:14:38.240711, 3, 55, 13, 8474/11016, 126.76/250.0, 68, 1860
05:14:39.244575, 0, 57, 14, 8377/11019, 125.808/250.0, 55, 1890
05:14:39.247251, 1, 56, 12, 8377/11019, 104.266/250.0, 55, 1875
05:14:39.249956, 2, 60, 10, 8377/11019, 110.956/250.0, 60, 1845
05:14:39.252333, 3, 52, 12, 8474/11016, 118.82000000000001/250.0, 68, 1860
05:14:40.256135, 0, 60, 15, 8377/11019, 132.81300000000002/250.0, 56, 1890
05:14:40.258618, 1, 17, 3, 8377/11019, 247.595/250.0, 58, 1830
05:14:40.263372, 2, 59, 10, 8377/11019, 106.096/250.0, 60, 1845
05:14:40.266420, 3, 55, 14, 8474/11016, 126.912/250.0, 69, 1860
05:14:41.270137, 0, 55, 16, 8377/11019, 102.23/250.0, 55, 1875
05:14:41.272704, 1, 63, 35, 8377/11019, 121.423/250.0, 56, 1875
05:14:41.275280, 2, 67, 11, 8377/11019, 111.45100000000001/250.0, 60, 1845
05:14:41.282301, 3, 61, 16, 8474/11016, 98.33/250.0, 68, 1860
05:14:42.288730, 0, 45, 9, 8377/11019, 120.586/250.0, 56, 1875
05:14:42.292964, 1, 62, 18, 8377/11019, 125.769/250.0, 56, 1875
05:14:42.295232, 2, 61, 11, 8377/11019, 111.762/250.0, 61, 1845
05:14:42.297794, 3, 26, 6, 8474/11016, 103.403/250.0, 68, 1860
05:14:43.301545, 0, 59, 11, 8377/11019, 120.61/250.0, 56, 1875
05:14:43.304984, 1, 64, 18, 8377/11019, 116.628/250.0, 56, 1875
05:14:43.308506, 2, 61, 10, 8377/11019, 112.174/250.0, 61, 1845
05:14:43.311531, 3, 50, 7, 8474/11016, 109.705/250.0, 68, 1860
05:14:44.315126, 0, 55, 10, 8377/11019, 90.132/250.0, 55, 1875
05:14:44.319008, 1, 63, 18, 8377/11019, 134.181/250.0, 56, 1875
05:14:44.321405, 2, 62, 10, 8377/11019, 111.653/250.0, 61, 1845
05:14:44.323614, 3, 51, 7, 8474/11016, 96.98100000000001/250.0, 68, 1860
05:14:45.327481, 0, 24, 14, 8377/11019, 247.51000000000002/250.0, 60, 1815
05:14:45.331382, 1, 62, 21, 8377/11019, 118.516/250.0, 57, 1875
05:14:45.336528, 2, 62, 11, 8377/11019, 112.74900000000001/250.0, 61, 1845
05:14:45.345248, 3, 12, 2, 8474/11016, 184.81/250.0, 70, 1860
05:14:46.350189, 0, 65, 26, 8377/11019, 111.831/250.0, 57, 1875
05:14:46.353229, 1, 63, 19, 8377/11019, 117.95400000000001/250.0, 57, 1875
05:14:46.356663, 2, 64, 11, 8377/11019, 91.985/250.0, 61, 1845
05:14:46.359663, 3, 67, 38, 8474/11016, 113.424/250.0, 70, 1860
05:14:47.363180, 0, 63, 15, 8377/11019, 132.952/250.0, 56, 1875
05:14:47.366943, 1, 64, 18, 8377/11019, 117.59400000000001/250.0, 56, 1875
05:14:47.369181, 2, 61, 11, 8377/11019, 93.898/250.0, 61, 1845
05:14:47.371502, 3, 56, 13, 8474/11016, 127.711/250.0, 69, 1860
05:14:48.375289, 0, 63, 15, 8377/11019, 120.58800000000001/250.0, 57, 1875
05:14:48.377884, 1, 64, 18, 8377/11019, 118.301/250.0, 56, 1875
05:14:48.380784, 2, 60, 10, 8377/11019, 112.534/250.0, 61, 1845
05:14:48.383645, 3, 55, 13, 8474/11016, 127.932/250.0, 70, 1860
05:14:49.387459, 0, 64, 15, 8377/11019, 117.24600000000001/250.0, 57, 1875
05:14:49.390104, 1, 63, 18, 8377/11019, 131.655/250.0, 57, 1875
05:14:49.392891, 2, 62, 10, 8377/11019, 112.876/250.0, 61, 1845
05:14:49.395510, 3, 56, 14, 8474/11016, 127.929/250.0, 70, 1860
05:14:50.399158, 0, 65, 16, 8377/11019, 112.02/250.0, 57, 1875
05:14:50.401655, 1, 40, 11, 8377/11019, 106.935/250.0, 57, 1875
