Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
00:19:14.200136, 0, 1, 0, 1/11019, 74.342/250.0, 74, 1350
00:19:14.208990, 1, 2, 1, 1/11019, 27.649/250.0, 39, 1350
00:19:14.217851, 2, 2, 1, 1/11019, 18.205000000000002/250.0, 38, 300
00:19:14.226821, 3, 0, 0, 99/11016, 23.726/250.0, 47, 300
00:19:15.229841, 0, 21, 2, 1/11019, 108.482/250.0, 75, 1830
00:19:15.231897, 1, 35, 11, 1/11019, 75.46300000000001/250.0, 41, 1905
00:19:15.234153, 2, 35, 12, 1/11019, 76.912/250.0, 41, 1890
00:19:15.237257, 3, 0, 0, 99/11016, 23.474/250.0, 47, 300
00:19:16.240996, 0, 0, 0, 205/11019, 107.119/250.0, 74, 1350
00:19:16.245707, 1, 0, 0, 205/11019, 46.74/250.0, 40, 1350
00:19:16.256432, 2, 0, 0, 1/11019, 77.7/250.0, 41, 525
00:19:16.259059, 3, 0, 0, 99/11016, 23.684/250.0, 47, 300
00:19:17.262070, 0, 4, 0, 305/11019, 71.877/250.0, 72, 1350
00:19:17.264112, 1, 3, 0, 305/11019, 46.348/250.0, 40, 1350
00:19:17.266179, 2, 0, 0, 1/11019, 43.487/250.0, 39, 420
00:19:17.270381, 3, 0, 0, 99/11016, 23.23/250.0, 47, 300
00:19:18.275641, 0, 0, 0, 429/11019, 71.354/250.0, 72, 1350
00:19:18.277696, 1, 0, 0, 557/11019, 46.669000000000004/250.0, 40, 1350
00:19:18.280328, 2, 0, 0, 1/11019, 14.339/250.0, 39, 315
00:19:18.282803, 3, 0, 0, 99/11016, 23.549/250.0, 47, 300
00:19:19.291296, 0, 2, 0, 813/11019, 71.33200000000001/250.0, 71, 1350
00:19:19.297242, 1, 1, 0, 813/11019, 46.744/250.0, 40, 1350
00:19:19.300634, 2, 0, 0, 1/11019, 14.172/250.0, 39, 315
00:19:19.303958, 3, 0, 0, 99/11016, 23.691/250.0, 47, 300
00:19:20.309773, 0, 7, 0, 813/11019, 71.136/250.0, 70, 1350
00:19:20.316119, 1, 6, 0, 813/11019, 46.379/250.0, 40, 1350
00:19:20.323309, 2, 0, 0, 1/11019, 6.1610000000000005/250.0, 39, 300
00:19:20.327710, 3, 0, 0, 99/11016, 23.53/250.0, 47, 300
00:19:21.337734, 0, 2, 0, 1041/11019, 70.32000000000001/250.0, 70, 1350
00:19:21.344270, 1, 1, 0, 1065/11019, 47.362/250.0, 40, 1350
00:19:21.350252, 2, 0, 0, 1/11019, 4.344/250.0, 39, 300
00:19:21.352993, 3, 0, 0, 99/11016, 23.894000000000002/250.0, 47, 300
00:19:22.435075, 0, 6, 0, 8889/11019, 228.57500000000002/250.0, 74, 1515
00:19:22.453410, 1, 5, 0, 8889/11019, 242.755/250.0, 46, 1665
00:19:22.468270, 2, 0, 0, 1/11019, 6.018/250.0, 38, 300
00:19:22.480076, 3, 0, 0, 99/11016, 23.433/250.0, 47, 300
00:19:23.506252, 0, 84, 47, 8889/11019, 247.321/250.0, 75, 1755
00:19:23.523898, 1, 73, 40, 8889/11019, 249.032/250.0, 48, 1860
00:19:23.536915, 2, 0, 0, 1/11019, 8.539/250.0, 38, 300
00:19:23.548881, 3, 0, 0, 99/11016, 23.107/250.0, 47, 300
00:19:24.564610, 0, 74, 46, 8889/11019, 102.144/250.0, 72, 1845
00:19:24.575658, 1, 80, 52, 8889/11019, 74.987/250.0, 44, 1890
00:19:24.589173, 2, 0, 0, 1/11019, 3.319/250.0, 38, 300
00:19:24.604188, 3, 0, 0, 99/11016, 23.583000000000002/250.0, 47, 300
00:19:25.608842, 0, 0, 0, 8889/11019, 102.947/250.0, 71, 1845
00:19:25.620497, 1, 0, 0, 8889/11019, 69.747/250.0, 43, 1350
00:19:25.632378, 2, 0, 0, 1/11019, 3.309/250.0, 38, 300
00:19:25.645288, 3, 0, 0, 99/11016, 23.654/250.0, 47, 300
00:19:26.649021, 0, 0, 0, 8889/11019, 69.345/250.0, 69, 1350
00:19:26.652303, 1, 0, 0, 8889/11019, 47.476/250.0, 42, 1350
00:19:26.663398, 2, 0, 0, 1/11019, 3.831/250.0, 38, 300
00:19:26.677278, 3, 0, 0, 99/11016, 23.845/250.0, 47, 300
00:19:27.680375, 0, 9, 0, 8889/11019, 68.774/250.0, 68, 1350
00:19:27.682401, 1, 7, 0, 8889/11019, 47.437/250.0, 42, 1350
00:19:27.685063, 2, 0, 0, 1/11019, 3.088/250.0, 38, 300
00:19:27.687522, 3, 0, 0, 99/11016, 23.615000000000002/250.0, 47, 300
00:19:28.692076, 0, 0, 0, 8889/11019, 68.137/250.0, 68, 1350
00:19:28.693997, 1, 1, 0, 8889/11019, 47.286/250.0, 42, 1350
00:19:28.696559, 2, 0, 0, 1/11019, 2.688/250.0, 38, 300
00:19:28.699014, 3, 0, 0, 99/11016, 23.601/250.0, 47, 300
00:19:29.702346, 0, 2, 0, 8889/11019, 68.571/250.0, 67, 1350
00:19:29.704465, 1, 0, 0, 8889/11019, 47.421/250.0, 42, 1350
00:19:29.707424, 2, 0, 0, 1/11019, 2.6510000000000002/250.0, 38, 300
00:19:29.710269, 3, 0, 0, 99/11016, 23.45/250.0, 47, 300
00:19:30.713635, 0, 8, 0, 8889/11019, 67.864/250.0, 67, 1350
00:19:30.717694, 1, 7, 0, 8889/11019, 47.583/250.0, 42, 1350
00:19:30.721062, 2, 0, 0, 1/11019, 2.754/250.0, 38, 300
00:19:30.728725, 3, 0, 0, 99/11016, 23.172/250.0, 47, 300
00:19:31.731509, 0, 0, 0, 8889/11019, 72.389/250.0, 66, 1350
00:19:31.734167, 1, 0, 0, 8889/11019, 67.895/250.0, 43, 1560
00:19:31.737270, 2, 0, 0, 1/11019, 4.821/250.0, 38, 300
00:19:31.739988, 3, 0, 0, 99/11016, 23.063/250.0, 47, 300
00:19:32.743284, 0, 21, 5, 8889/11019, 75.427/250.0, 66, 1350
00:19:32.746107, 1, 18, 7, 8889/11019, 66.136/250.0, 43, 1560
00:19:32.748975, 2, 0, 0, 1/11019, 5.046/250.0, 38, 300
00:19:32.751642, 3, 0, 0, 99/11016, 23.065/250.0, 47, 300
00:19:33.757156, 0, 28, 6, 8889/11019, 71.629/250.0, 65, 1350
00:19:33.759367, 1, 29, 11, 8889/11019, 56.295/250.0, 43, 1350
00:19:33.762400, 2, 0, 0, 1/11019, 4.432/250.0, 38, 300
00:19:33.765199, 3, 0, 0, 99/11016, 23.044/250.0, 47, 300
00:19:34.769152, 0, 29, 7, 8889/11019, 71.82900000000001/250.0, 65, 1350
00:19:34.773959, 1, 29, 10, 8889/11019, 57.905/250.0, 43, 1350
00:19:34.777140, 2, 0, 0, 1/11019, 4.864/250.0, 38, 300
00:19:34.779993, 3, 0, 0, 99/11016, 23.066/250.0, 47, 300
00:19:35.784291, 0, 30, 7, 8889/11019, 74.858/250.0, 65, 1350
00:19:35.788197, 1, 29, 10, 8889/11019, 63.392/250.0, 43, 1350
00:19:35.792073, 2, 0, 0, 1/11019, 4.7330000000000005/250.0, 38, 300
00:19:35.795202, 3, 0, 0, 99/11016, 22.892/250.0, 47, 300
00:19:36.798850, 0, 29, 7, 8889/11019, 74.455/250.0, 64, 1350
00:19:36.801382, 1, 31, 11, 8889/11019, 61.622/250.0, 43, 1350
00:19:36.804418, 2, 0, 0, 1/11019, 4.587/250.0, 38, 300
00:19:36.807747, 3, 0, 0, 99/11016, 23.035/250.0, 47, 300
00:19:37.812754, 0, 32, 7, 8889/11019, 74.712/250.0, 64, 1350
00:19:37.815145, 1, 31, 11, 8889/11019, 61.481/250.0, 43, 1350
00:19:37.818177, 2, 0, 0, 1/11019, 4.22/250.0, 38, 300
00:19:37.820889, 3, 0, 0, 99/11016, 22.922/250.0, 47, 300
00:19:38.825154, 0, 30, 7, 8889/11019, 73.905/250.0, 64, 1350
00:19:38.828719, 1, 30, 11, 8889/11019, 55.71/250.0, 43, 1350
00:19:38.831920, 2, 0, 0, 1/11019, 4.064/250.0, 38, 300
00:19:38.835120, 3, 0, 0, 99/11016, 23.353/250.0, 47, 300
00:19:39.838791, 0, 29, 7, 8889/11019, 72.483/250.0, 63, 1350
00:19:39.841009, 1, 30, 11, 8889/11019, 58.509/250.0, 43, 1350
00:19:39.844048, 2, 0, 0, 1/11019, 3.801/250.0, 38, 300
00:19:39.846744, 3, 0, 0, 99/11016, 23.201/250.0, 47, 300
00:19:40.849883, 0, 31, 7, 8889/11019, 69.854/250.0, 63, 1350
00:19:40.852331, 1, 33, 11, 8889/11019, 56.342/250.0, 44, 1350
00:19:40.855432, 2, 0, 0, 1/11019, 3.742/250.0, 38, 300
00:19:40.858346, 3, 0, 0, 99/11016, 22.841/250.0, 47, 300
00:19:41.861623, 0, 31, 7, 8889/11019, 71.935/250.0, 63, 1350
00:19:41.863753, 1, 33, 11, 8889/11019, 58.557/250.0, 44, 1350
00:19:41.866809, 2, 0, 0, 1/11019, 3.786/250.0, 38, 300
00:19:41.869654, 3, 0, 0, 99/11016, 22.625/250.0, 47, 300
00:19:42.878088, 0, 32, 7, 8889/11019, 72.912/250.0, 62, 1350
00:19:42.884302, 1, 31, 11, 8889/11019, 56.649/250.0, 44, 1350
00:19:42.888100, 2, 0, 0, 1/11019, 3.42/250.0, 38, 300
00:19:42.890815, 3, 0, 0, 99/11016, 22.903000000000002/250.0, 47, 300
00:19:43.901692, 0, 30, 7, 8889/11019, 71.566/250.0, 62, 1350
