Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
0.932343, 5.49785, 3.56836, 1.35149, 4.88518, 2.83406, 5.67192, 2.26109, 8.06328, 1.16142, 4.83247, 0.968353, 1.20264, 3.89572, 8.90372, 1.56601, 57.5959, 86.6875, 20.000000, 1.002067
0.561905, 0.183273, 3.05, 7.03384, 3.60994, 6.83778, 0.424744, 0.186539, 3.31201, 6.93259, 0.34964, 0.305359, 1.02634, 3.06973, 7.08995, 0.232925, 44.2066, 73.8427, 11.000000, 2.003112
0.487656, 0.197601, 1.9518, 7.28259, 0.779694, 8.59967, 0.552765, 1.44128, 9.82182, 0.26709, 0.344513, 0.141083, 8.44968, 0.35817, 0.679703, 0.478973, 41.8341, 73.292, 11.000000, 3.004538
4.7029, 2.95523, 3.06508, 8.03822, 6.91309, 6.63716, 3.06239, 4.10107, 9.32722, 2.8011, 2.91786, 2.81262, 4.00758, 6.13127, 7.10199, 4.11804, 78.6928, 112.005, 36.000000, 4.005696
8.42195, 0.573471, 0.864578, 0.29541, 0.140045, 8.98741, 0.676163, 1.00322, 5.94281, 3.83919, 2.2805, 0.581924, 0.757141, 8.34915, 0.37558, 1.54129, 44.6298, 78.0003, 12.000000, 5.006965
7.29022, 5.65428, 5.54617, 5.63423, 5.79291, 5.92758, 5.6451, 9.81398, 7.27695, 5.58221, 9.64755, 5.61339, 5.98541, 5.9178, 5.76929, 9.80504, 106.902, 138.436, 58.000000, 6.007909
10.6971, 2.51108, 0.697998, 0.67897, 11.19, 2.38223, 2.68167, 0.840515, 0.796265, 11.6495, 0.856201, 0.786087, 0.376709, 0.602829, 1.4875, 12.5276, 60.7622, 92.3206, 15.000000, 7.009144
4.5338, 7.00397, 2.82858, 3.94577, 3.15024, 3.38683, 7.15901, 5.30612, 3.67398, 6.04945, 5.12311, 4.09677, 4.82158, 8.03595, 5.46658, 4.24327, 78.825, 112.745, 32.000000, 8.010028
6.00807, 6.12979, 6.87294, 8.04848, 5.95705, 5.95518, 9.20416, 6.19395, 6.26842, 8.57693, 5.51431, 5.6765, 6.20047, 6.37968, 6.15707, 7.95854, 107.102, 140.606, 54.000000, 9.010987
6.55096, 6.75826, 6.63611, 6.80301, 6.60512, 6.87561, 7.10858, 6.77719, 6.32553, 6.05562, 6.47995, 6.81186, 8.41721, 6.64769, 6.30722, 6.58359, 107.743, 145.834, 58.000000, 10.012136
6.9532, 6.78546, 7.01437, 7.00819, 6.97298, 7.26753, 6.82858, 6.80566, 6.65216, 7.00914, 6.78729, 6.69481, 7.01955, 7.56337, 7.12892, 7.12178, 111.613, 149.875, 61.000000, 11.013368
7.06592, 7.54158, 7.15732, 7.19704, 6.5247, 6.9783, 6.60509, 7.40764, 6.81398, 6.74969, 6.93108, 7.23364, 7.42976, 7.0676, 7.11122, 6.90833, 112.723, 151.597, 62.000000, 12.014266
6.30368, 6.3611, 7.15428, 6.59648, 6.66425, 7.20712, 7.0858, 7.27797, 7.0276, 6.9425, 6.84096, 7.32603, 6.9539, 6.9516, 7.20859, 7.10243, 111.004, 149.262, 62.000000, 13.015191
6.73694, 7.33662, 7.0802, 6.94244, 7.24744, 7.29449, 7.13419, 7.12683, 6.64919, 7.48012, 6.43723, 7.24594, 7.14587, 6.97459, 7.27589, 7.43578, 113.544, 152.09, 62.000000, 14.016055
7.10942, 6.74156, 6.76421, 6.89626, 7.30208, 6.95111, 6.62433, 6.86081, 7.42192, 7.71812, 7.0788, 7.10954, 7.23076, 6.99216, 6.93335, 7.32758, 113.062, 151.704, 62.000000, 15.017094
7.08226, 7.15106, 7.07294, 7.10864, 7.47569, 7.62122, 7.0352, 7.26292, 6.68687, 6.55537, 6.48839, 6.74648, 6.46634, 6.98656, 6.30318, 6.73056, 110.774, 149.674, 59.000000, 16.018175
6.73001, 7.1187, 7.16739, 6.79303, 7.26482, 6.73259, 7.2247, 7.0287, 7.29343, 7.31686, 6.91087, 7.10359, 6.88852, 6.87106, 7.18933, 7.19647, 112.83, 151.853, 61.000000, 17.019261
6.85262, 6.75952, 6.88467, 6.46936, 7.16302, 7.03607, 6.78638, 7.56343, 6.60748, 6.98848, 6.68286, 6.9442, 7.30208, 7.24406, 7.47786, 7.65392, 112.416, 151.002, 61.000000, 18.020257
5.33026, 5.89517, 5.27219, 5.80812, 5.91443, 5.95897, 5.84058, 5.77507, 6.41422, 6.29085, 6.12749, 5.94193, 6.31624, 6.41998, 6.33949, 5.89597, 95.5409, 134.327, 51.000000, 19.021265
7.01308, 7.14275, 6.88669, 6.94319, 6.2921, 6.38766, 6.54866, 6.84856, 7.11797, 6.68318, 6.60838, 6.69077, 6.90131, 7.13103, 7.43324, 6.64232, 109.271, 148.157, 59.000000, 20.022269
6.69691, 6.28987, 6.64726, 6.3264, 6.0657, 6.19403, 6.27051, 6.36769, 7.07184, 6.04541, 6.16145, 6.94017, 6.70546, 6.438, 6.26418, 6.3105, 102.795, 141.711, 56.000000, 21.023313
6.12053, 4.9566, 5.82649, 5.20787, 5.47667, 5.14249, 5.21538, 5.82367, 6.5899, 5.58301, 5.10399, 5.5332, 4.58907, 5.54652, 5.68396, 4.70743, 87.1068, 125.072, 46.000000, 22.024256
4.75342, 3.8936, 4.90506, 4.384, 4.84323, 5.43314, 5.29213, 5.07195, 5.88539, 3.78789, 3.81116, 3.9304, 4.42577, 4.37589, 4.3401, 4.51045, 73.6436, 110.184, 36.000000, 23.025263
5.81854, 6.00096, 5.75804, 6.60878, 6.41667, 6.69829, 6.75, 6.11665, 6.66141, 6.76569, 5.95793, 7.03204, 6.14606, 6.55261, 6.30603, 6.13182, 101.722, 139.324, 53.000000, 24.026185
5.48784, 5.11868, 5.35463, 5.46828, 6.06393, 6.42278, 6.09731, 5.95149, 5.21384, 5.77202, 5.19357, 5.64577, 6.15428, 6.07718, 5.90666, 6.1194, 92.0477, 130.403, 48.000000, 25.026949
4.9826, 5.49675, 5.28583, 4.76175, 5.59312, 5.88689, 5.68895, 5.53194, 4.29266, 4.54916, 4.57756, 4.99176, 5.7746, 5.17259, 5.55806, 6.22333, 84.3676, 122.56, 43.000000, 26.027766
5.94658, 8.19035, 4.49448, 4.82892, 3.21277, 4.55247, 3.72762, 4.01622, 6.60428, 4.33453, 6.43678, 4.64323, 4.94913, 4.67204, 4.94742, 4.45734, 80.0142, 116.846, 37.000000, 27.028615
6.20651, 5.78525, 5.989, 5.68806, 5.84944, 6.35342, 6.08095, 6.46086, 5.597, 5.60683, 5.73645, 5.61171, 5.78238, 5.28262, 5.66866, 5.61205, 93.3112, 131.027, 48.000000, 28.029512
5.61079, 5.62566, 5.60126, 5.48093, 5.55627, 5.61462, 5.70624, 5.93825, 5.77412, 5.93927, 6.07463, 5.81679, 5.58379, 5.33441, 6.39363, 5.5954, 91.6461, 130.136, 48.000000, 29.030473
5.39665, 6.38878, 6.09901, 5.76372, 5.06984, 5.26399, 6.05652, 5.39342, 5.68231, 6.12448, 5.8427, 5.76295, 5.54636, 6.18665, 5.66789, 5.41699, 91.6623, 130.232, 48.000000, 30.031429
5.78532, 5.5071, 5.50235, 5.94681, 5.83778, 5.30539, 5.67764, 5.20476, 5.43092, 5.37801, 6.34978, 5.27979, 5.51979, 5.68591, 5.5528, 5.99718, 89.9613, 128.374, 46.000000, 31.032331
4.85599, 5.15529, 4.39914, 4.36232, 5.99113, 4.70067, 4.55455, 4.37074, 5.29086, 5.38676, 5.32875, 5.94208, 4.76186, 4.51904, 4.87677, 5.02498, 79.5209, 117.07, 40.000000, 32.033484
4.89992, 4.33672, 5.22925, 4.59886, 5.21858, 4.26067, 4.9183, 4.46625, 4.42583, 4.33937, 4.41928, 4.99083, 5.19817, 5.53604, 3.79036, 3.71991, 74.3483, 111.89, 36.000000, 33.034492
5.07573, 5.19075, 4.64371, 4.95636, 4.97606, 5.03026, 4.87312, 4.93654, 5.49049, 5.14383, 5.49492, 5.64879, 5.8466, 5.71414, 5.576, 6.22469, 84.822, 122.549, 43.000000, 34.035354
5.61555, 5.9198, 6.89958, 5.23532, 6.14398, 6.13135, 5.29507, 6.46191, 4.85684, 5.41423, 4.84375, 5.30588, 4.83929, 5.29596, 5.24823, 6.25713, 89.7639, 127.125, 44.000000, 35.036259
5.10948, 5.85153, 7.21896, 5.59578, 6.05704, 6.27562, 5.90791, 5.65456, 4.99348, 5.51219, 5.46124, 5.29733, 5.72, 5.93494, 5.77499, 5.92741, 92.2925, 130.793, 47.000000, 36.037304
5.56885, 6.0488, 5.77322, 5.12169, 6.53464, 5.57091, 6.4949, 5.80418, 5.57332, 5.3318, 5.55252, 5.41632, 5.59552, 6.01123, 6.07214, 5.74106, 92.2111, 130.665, 48.000000, 37.038282
5.3134, 5.27054, 5.51877, 5.42899, 5.93874, 6.66475, 6.00252, 6.1656, 5.44913, 6.00043, 5.74998, 5.54724, 5.47917, 6.08554, 5.73238, 6.07051, 92.4177, 131.123, 49.000000, 38.039255
6.36053, 5.44524, 5.3847, 5.26009, 5.20628, 5.24222, 4.87936, 5.22731, 5.09818, 6.0144, 5.12575, 5.85262, 5.73936, 5.34175, 5.75616, 5.49936, 87.4333, 125.69, 45.000000, 39.040239
4.08368, 5.14505, 4.74539, 4.04807, 4.93985, 4.69453, 4.83055, 4.61267, 4.72917, 5.12004, 5.16162, 4.58018, 7.42039, 4.75174, 4.66005, 4.08408, 77.6071, 114.58, 37.000000, 40.041317
6.33754, 6.67679, 6.0376, 6.10278, 5.33618, 5.3148, 5.7038, 5.63968, 5.6814, 6.38715, 6.01953, 6.47734, 6.49484, 6.45966, 6.56772, 6.15538, 97.3922, 135.199, 50.000000, 41.042660
4.1104, 4.58525, 4.48241, 4.65562, 4.42146, 4.65804, 4.64, 4.52167, 4.40396, 5.58105, 3.89363, 5.24335, 4.65926, 5.31323, 5.52513, 4.99292, 75.6874, 113.266, 37.000000, 42.043685
4.56772, 4.34009, 4.43604, 4.71535, 4.52406, 5.04727, 4.67104, 5.38618, 4.97881, 5.20235, 5.36086, 4.54794, 4.26196, 4.71634, 4.14929, 5.11356, 76.0188, 113.658, 38.000000, 43.044709
4.09882, 4.0381, 4.01129, 4.10529, 5.47746, 6.09641, 4.91467, 4.79068, 5.1348, 4.65456, 5.66147, 4.73001, 5.19438, 5.43312, 3.82059, 4.49599, 76.6576, 113.293, 36.000000, 44.045606
6.31035, 6.50652, 5.90236, 5.98729, 5.85704, 5.97881, 5.87315, 7.0822, 7.56349, 5.98447, 6.12648, 6.00623, 5.57608, 6.06367, 6.91585, 6.09186, 99.8258, 136.881, 52.000000, 45.046658
4.80769, 4.95074, 5.16251, 5.31482, 5.18321, 5.28583, 4.76797, 5.52919, 4.79207, 5.20346, 4.62134, 5.21185, 5.53831, 5.35771, 5.7601, 5.72084, 83.2077, 121.304, 43.000000, 46.047673
4.78084, 5.06523, 4.27933, 5.23355, 5.34418, 5.08958, 4.60716, 4.45805, 4.91263, 4.7485, 5.07529, 6.17865, 5.0907, 5.78731, 4.68848, 5.87767, 81.2171, 119.255, 40.000000, 47.048688
5.49911, 5.00604, 4.72795, 5.02835, 4.64221, 4.46219, 4.94308, 5.53439, 5.00716, 8.16942, 4.87769, 5.40225, 5.49873, 5.32602, 5.73557, 6.03531, 85.8955, 123.623, 42.000000, 48.049734
