Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
0.974152, 3.74445, 5.12831, 1.14156, 3.03455, 3.60408, 5.26534, 2.00006, 7.24446, 0.96933, 0.921555, 0.830917, 5.29146, 0.908371, 0.912903, 3.69562, 45.6671, 73.6536, 17.000000, 1.002275
0.316422, 0.0840912, 0.143387, 0.0926666, 0.672653, 0.546127, 9.93875, 0.445923, 9.29666, 0.435791, 0.306625, 0.189514, 9.85658, 0.308807, 0.306595, 0.226471, 33.1671, 61.4469, 8.000000, 2.003684
0.216629, 2.4874, 0.20787, 0.11795, 1.88202, 1.13441, 0.766815, 8.9342, 2.1808, 0.623062, 2.26685, 7.06985, 9.11533, 0.398178, 0.355911, 0.376175, 38.1335, 68.8575, 9.000000, 3.004986
1.56564, 2.38922, 5.16409, 1.53377, 1.78535, 3.35233, 7.88477, 3.97237, 5.77164, 1.94003, 6.0056, 1.6933, 7.18512, 1.63124, 1.92122, 3.04601, 56.8417, 88.2761, 23.000000, 4.006488
0.446274, 0.252914, 0.353577, 0.352753, 0.471008, 1.05354, 5.05017, 5.21045, 5.76128, 0.577148, 4.89047, 0.0576935, 6.22044, 4.38286, 0.0778046, 0.132507, 35.2909, 65.3538, 9.000000, 5.007814
4.58168, 5.61937, 4.71585, 5.4778, 4.61053, 4.52592, 8.86792, 4.79558, 4.11246, 5.09775, 5.31023, 7.30482, 7.74794, 6.24625, 4.75415, 5.00871, 88.777, 117.759, 44.000000, 6.009394
0.928986, 0.338791, 0.10463, 0.336304, 0.798096, 0.534149, 9.17538, 3.55106, 0.153915, 0.770142, 0.956177, 12.4368, 12.7478, 0.485123, 0.675125, 0.87204, 44.8645, 74.8335, 10.000000, 7.010540
4.78015, 4.59528, 4.61009, 5.4568, 5.64597, 5.17921, 5.53574, 8.96552, 5.37227, 5.45235, 5.41493, 8.63916, 5.23039, 6.6631, 7.06229, 5.685, 94.2882, 127.524, 45.000000, 8.011394
3.58957, 3.69408, 3.25307, 3.51987, 5.27444, 6.3512, 4.0565, 3.6373, 6.74651, 3.73317, 4.08316, 3.88799, 4.11678, 3.83731, 3.83194, 7.99208, 71.6049, 104.733, 35.000000, 9.012261
5.32738, 6.14488, 5.75473, 5.44191, 5.19055, 5.4548, 5.37216, 5.54865, 5.50404, 5.62035, 4.9882, 5.1803, 5.06444, 5.27731, 5.0197, 5.49637, 86.3858, 122.876, 51.000000, 10.013203
5.83569, 5.74112, 5.81186, 5.5554, 5.22929, 5.00262, 5.064, 5.46736, 5.43185, 5.20369, 5.03185, 5.2049, 5.89555, 5.48868, 5.09697, 5.46989, 86.5307, 123.075, 51.000000, 11.014238
5.87898, 5.0977, 5.68932, 5.41252, 5.37793, 5.41077, 5.12814, 5.64845, 5.27701, 5.79668, 5.00481, 5.25288, 5.70305, 5.69272, 5.63046, 5.71317, 87.7146, 124.285, 52.000000, 12.015384
5.71477, 5.3526, 5.27397, 5.55014, 5.43037, 5.26962, 5.83405, 5.56464, 5.51115, 4.97093, 5.49112, 5.53777, 5.6375, 5.49377, 5.42299, 5.86087, 87.9163, 124.694, 52.000000, 13.016530
5.2704, 5.33975, 5.08777, 6.22015, 5.57118, 5.88002, 5.34668, 5.52608, 5.3013, 5.49939, 5.66592, 5.49577, 5.29135, 5.01482, 5.09143, 5.632, 87.234, 123.898, 50.000000, 14.017350
5.12166, 5.58456, 5.09103, 5.36536, 5.45441, 5.53801, 5.57974, 5.21016, 5.1499, 5.34386, 4.98111, 5.46207, 5.86787, 5.41881, 5.69606, 5.45457, 86.3192, 122.922, 50.000000, 15.018222
5.40593, 5.69203, 5.23103, 5.6228, 5.32428, 5.39288, 5.61665, 6.24501, 5.35709, 5.28183, 5.29579, 5.9335, 4.88585, 4.90155, 5.78693, 5.03009, 87.0033, 123.694, 51.000000, 16.019174
5.00714, 5.22754, 5.50731, 5.40137, 5.64175, 5.08589, 5.16148, 5.11446, 5.94682, 6.00246, 5.23796, 5.64876, 5.29694, 5.31012, 5.40422, 5.63232, 86.6265, 123.296, 51.000000, 17.020229
5.41661, 5.82776, 5.00912, 5.44971, 5.61443, 5.83992, 5.12839, 5.7809, 5.23013, 6.13814, 5.57579, 5.55519, 5.12389, 5.14589, 5.06989, 5.32077, 87.2265, 123.961, 51.000000, 18.021224
5.14392, 5.36646, 5.3174, 5.21609, 5.49295, 5.2836, 5.67073, 5.7755, 5.60768, 5.34935, 5.22319, 5.5123, 5.63815, 5.70895, 5.74077, 5.50455, 87.5516, 124.243, 53.000000, 19.022072
5.18484, 5.40462, 5.09526, 5.05722, 5.27881, 5.18546, 6.1082, 5.38095, 5.78828, 5.69972, 5.72159, 5.17061, 5.49187, 5.79088, 5.33685, 5.49615, 87.1913, 123.992, 50.000000, 20.023033
3.66875, 2.95891, 2.98125, 3.42558, 2.83961, 3.332, 2.77721, 3.4705, 3.23766, 3.37784, 3.21384, 3.1964, 3.55247, 3.85622, 4.53717, 2.97375, 53.3992, 88.1161, 26.000000, 21.024233
4.6834, 4.71439, 5.13142, 4.77399, 5.32851, 5.49077, 4.94395, 5.20227, 5.51704, 5.16489, 4.89447, 5.09676, 5.2565, 4.64481, 4.79886, 5.52422, 81.1662, 115.653, 44.000000, 22.025155
4.52388, 3.85646, 4.25154, 4.08176, 4.25719, 4.21709, 3.86327, 4.55409, 4.16084, 4.31694, 4.61665, 4.18941, 4.23662, 4.07562, 4.8219, 4.87761, 68.9009, 104.347, 36.000000, 23.026045
3.53818, 4.00278, 5.09535, 3.87447, 4.05209, 4.15396, 4.33595, 3.54141, 3.89932, 3.26781, 3.83229, 3.59172, 3.94724, 3.48311, 4.23643, 4.3575, 63.2096, 98.2678, 32.000000, 24.026963
3.42538, 2.38248, 2.5659, 2.57465, 4.27675, 3.47592, 6.46953, 3.03374, 2.70216, 6.50301, 2.45107, 4.24936, 2.52061, 3.44247, 2.60812, 3.65892, 56.3401, 88.965, 25.000000, 25.027882
4.48447, 4.3801, 3.80264, 4.5784, 4.11633, 4.75162, 4.78098, 4.49942, 4.59192, 4.71739, 4.33228, 4.37086, 4.37349, 3.88675, 3.93896, 3.97772, 69.5833, 103.645, 38.000000, 26.028805
4.42688, 4.41379, 4.24974, 4.78351, 3.75899, 4.41574, 4.78198, 4.20493, 4.4868, 4.88135, 4.99823, 4.86774, 4.28653, 4.83202, 4.31062, 4.48148, 72.1803, 107.541, 40.000000, 27.029710
3.96654, 5.47928, 4.84093, 4.50655, 4.24669, 3.92593, 4.41035, 4.23773, 4.39848, 4.14334, 4.68356, 4.40619, 4.29849, 5.42709, 4.35004, 4.81012, 72.1313, 107.712, 37.000000, 28.030621
3.45746, 4.05649, 3.67958, 3.66878, 4.62059, 4.78371, 3.86844, 4.44122, 3.57692, 3.57797, 4.35016, 4.14781, 4.0168, 3.16634, 3.48769, 3.39653, 62.2965, 97.0468, 30.000000, 29.031571
3.68617, 4.09932, 3.49843, 4.466, 4.37012, 4.72327, 3.74057, 4.21767, 3.87953, 4.08365, 4.03716, 4.26151, 5.06267, 4.52026, 3.9192, 4.28148, 66.847, 101.776, 35.000000, 30.032734
4.4743, 5.33127, 4.23627, 4.92946, 4.96451, 4.39383, 4.67181, 4.5237, 4.54604, 4.33824, 4.43445, 4.22141, 5.01807, 5.05103, 4.79544, 5.07776, 75.0076, 110.252, 41.000000, 31.033752
4.82408, 5.34138, 4.47169, 4.59593, 4.0336, 4.29585, 4.44308, 3.98639, 3.74486, 4.20335, 3.8105, 3.89824, 3.92427, 4.39749, 3.95445, 3.75566, 67.6808, 102.873, 36.000000, 32.034617
3.76236, 4.95107, 3.95102, 4.1756, 3.76436, 3.58009, 4.10057, 4.87465, 4.54897, 3.9734, 4.11826, 4.07111, 4.02144, 4.36494, 4.49493, 4.11406, 66.8668, 102.116, 35.000000, 33.035614
3.94579, 4.41411, 3.99162, 4.14841, 3.95842, 4.29016, 4.36848, 4.42358, 3.7836, 4.53758, 3.69398, 4.14941, 4.28763, 5.24347, 4.75577, 4.8239, 68.8159, 104.073, 36.000000, 34.036867
3.74048, 3.91624, 4.32117, 3.90018, 4.40717, 3.47441, 3.9783, 3.59378, 3.67615, 3.44463, 3.08212, 3.13037, 5.53644, 4.57344, 4.20828, 4.62971, 63.6129, 98.4893, 32.000000, 35.037920
3.66141, 3.95886, 3.65285, 4.33905, 4.03711, 3.76308, 3.66426, 4.2775, 3.60629, 3.4641, 4.14165, 3.68753, 4.26189, 4.16318, 7.05772, 3.89059, 65.6271, 99.529, 33.000000, 36.039036
3.04449, 2.78316, 2.86938, 2.78557, 3.61708, 4.0114, 3.49982, 3.03178, 2.32579, 2.25475, 1.98941, 3.51161, 3.94876, 3.19992, 3.02481, 3.0722, 48.9699, 82.7627, 23.000000, 37.039955
4.2068, 4.04179, 3.89699, 4.59355, 3.53459, 4.10678, 3.3336, 4.16602, 4.20622, 3.85516, 3.51756, 3.58578, 3.79576, 4.56261, 3.74916, 4.00159, 63.154, 97.1296, 31.000000, 38.040878
3.04718, 2.7551, 3.57829, 2.95236, 2.98705, 3.02713, 3.41223, 2.34543, 3.26746, 3.05386, 3.15227, 3.26067, 3.32559, 2.71193, 2.42596, 1.95726, 47.2598, 81.4455, 21.000000, 39.041866
3.20441, 4.08202, 3.64729, 2.79303, 3.29857, 2.71071, 2.74573, 3.49622, 2.74446, 1.58026, 2.11194, 2.93852, 2.68851, 2.38664, 2.20412, 3.25269, 45.8851, 79.4363, 19.000000, 40.042921
