Core0_Power(W), Core1_Power(W), Core2_Power(W), Core3_Power(W), Core4_Power(W), Core5_Power(W), Core6_Power(W), Core7_Power(W), Core8_Power(W), Core9_Power(W), Core10_Power(W), Core11_Power(W), Core12_Power(W), Core13_Power(W), Core14_Power(W), Core15_Power(W), Core_power_sum(W), CPU_power(W), CPU_usage(%), Time(s)
4.10776, 3.94316, 0.865738, 1.05972, 4.83688, 1.31404, 0.778061, 5.5795, 1.04143, 3.48842, 1.15355, 0.840881, 0.899185, 3.43977, 0.841751, 0.930573, 35.1204, 63.5013, 14.000000, 1.002075
0.173538, 9.42912, 0.415115, 0.163101, 9.08423, 0.292709, 0.828323, 0.234848, 0.139511, 0.141556, 0.510574, 0.13002, 0.0661621, 0.0914459, 0.13858, 0.0743256, 21.9132, 50.5028, 5.000000, 2.003383
0.123566, 0.148148, 0.100113, 0.0596466, 10.7882, 1.84599, 1.45209, 0.0686798, 0.245743, 0.229431, 0.270706, 0.326309, 1.032, 0.19751, 8.7056, 2.6004, 28.1941, 58.4096, 6.000000, 3.004995
7.35355, 2.00877, 1.59587, 1.61537, 3.44675, 4.69008, 2.19571, 1.77013, 8.11807, 1.85469, 1.92247, 1.90305, 4.67389, 2.37679, 1.81738, 2.79024, 50.1328, 80.6884, 22.000000, 4.006388
4.01761, 0.700378, 5.2762, 0.0655823, 0.314331, 5.78004, 0.449448, 0.59137, 3.60385, 0.0825348, 0.299454, 0.525589, 0.0855713, 0.0694733, 0.303238, 0.350098, 22.5148, 51.2259, 6.000000, 5.007802
8.55885, 5.21405, 3.9296, 4.45068, 5.78395, 4.70921, 3.59514, 3.4489, 3.73308, 3.64316, 3.74663, 3.67252, 3.49014, 3.69223, 3.56148, 3.49747, 68.7271, 99.3055, 34.000000, 6.009349
12.6927, 0.635284, 0.267761, 0.893875, 8.63757, 2.92967, 0.808975, 2.80383, 0.0775452, 0.287506, 0.280579, 0.302734, 0.109116, 0.980759, 0.153793, 0.0521088, 31.9138, 61.5835, 7.000000, 7.010706
5.36559, 3.0457, 3.3968, 3.30275, 3.22798, 5.0731, 3.71487, 3.70053, 3.14313, 3.29558, 3.12386, 3.13678, 2.9317, 3.77985, 3.07643, 3.11981, 56.4345, 86.7979, 44.000000, 8.011645
6.82925, 2.96375, 3.96834, 2.9281, 2.82045, 2.55386, 2.86278, 2.71521, 6.43492, 3.00131, 2.72749, 2.5703, 3.4783, 2.97426, 2.88531, 3.12822, 54.8419, 86.6629, 25.000000, 9.016377
4.50429, 4.3335, 4.28764, 4.50562, 4.27304, 4.27892, 4.58115, 5.067, 4.15779, 4.42233, 4.58157, 4.59824, 4.42599, 4.30142, 4.36609, 4.769, 71.4536, 105.845, 38.000000, 10.017490
4.3217, 3.95914, 4.26546, 4.54243, 3.99178, 4.76048, 4.03142, 4.4825, 4.21017, 4.37994, 4.94647, 4.29572, 4.88316, 4.86044, 4.74928, 5.09868, 71.7788, 106.273, 38.000000, 11.018451
3.93883, 4.09749, 4.50549, 4.41689, 4.41409, 4.94321, 4.69003, 4.2928, 4.35423, 4.55455, 4.54532, 4.55054, 4.62831, 4.32668, 4.41208, 4.2899, 70.9604, 105.336, 38.000000, 12.019342
