Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
07:05:28.885682, 0, 43, 35, 1/11019, 115.58/250.0, 79, 1830
07:05:28.897307, 1, 18, 10, 1/11019, 24.683/250.0, 40, 315
07:05:28.907120, 2, 0, 0, 1/11019, 2.316/250.0, 42, 300
07:05:28.916822, 3, 0, 0, 99/11016, 24.337/250.0, 48, 300
07:05:29.920383, 0, 4, 0, 1/11019, 110.077/250.0, 78, 1830
07:05:29.922492, 1, 20, 6, 1/11019, 73.74/250.0, 43, 1890
07:05:29.925476, 2, 0, 0, 1/11019, 2.162/250.0, 42, 300
07:05:29.928121, 3, 0, 0, 99/11016, 24.66/250.0, 48, 300
07:05:30.933144, 0, 2, 0, 265/11019, 74.287/250.0, 76, 1350
07:05:30.935290, 1, 0, 0, 1/11019, 73.865/250.0, 43, 1890
07:05:30.938696, 2, 0, 0, 1/11019, 1.6/250.0, 42, 300
07:05:30.941156, 3, 0, 0, 99/11016, 24.333000000000002/250.0, 48, 300
07:05:31.944288, 0, 4, 0, 567/11019, 73.577/250.0, 75, 1350
07:05:31.947194, 1, 0, 0, 1/11019, 21.864/250.0, 41, 420
07:05:31.950554, 2, 0, 0, 1/11019, 2.356/250.0, 42, 300
07:05:31.954494, 3, 0, 0, 99/11016, 24.553/250.0, 48, 300
07:05:32.958400, 0, 7, 0, 949/11019, 73.36/250.0, 74, 1350
07:05:32.963269, 1, 0, 0, 1/11019, 19.593/250.0, 41, 315
07:05:32.966378, 2, 0, 0, 1/11019, 1.5350000000000001/250.0, 42, 300
07:05:32.969144, 3, 0, 0, 99/11016, 24.458000000000002/250.0, 48, 300
07:05:34.042505, 0, 66, 30, 8377/11019, 252.915/250.0, 79, 1710
07:05:34.045293, 1, 0, 0, 1/11019, 18.808/250.0, 41, 315
07:05:34.048425, 2, 0, 0, 1/11019, 5.952/250.0, 42, 300
07:05:34.051190, 3, 0, 0, 99/11016, 23.756/250.0, 48, 300
07:05:35.054969, 0, 36, 22, 8377/11019, 108.09100000000001/250.0, 76, 1830
07:05:35.057665, 1, 0, 0, 1/11019, 19.535/250.0, 41, 300
07:05:35.060662, 2, 0, 0, 1/11019, 2.928/250.0, 42, 300
07:05:35.063447, 3, 0, 0, 99/11016, 24.608/250.0, 48, 300
07:05:36.066790, 0, 6, 0, 8377/11019, 107.84/250.0, 75, 1830
07:05:36.069629, 1, 0, 0, 1/11019, 19.47/250.0, 41, 300
07:05:36.073516, 2, 0, 0, 1/11019, 3.979/250.0, 41, 300
07:05:36.080138, 3, 0, 0, 99/11016, 24.208000000000002/250.0, 48, 300
07:05:37.083283, 0, 0, 0, 8377/11019, 74.724/250.0, 73, 1350
07:05:37.085930, 1, 0, 0, 1/11019, 19.341/250.0, 41, 300
07:05:37.088928, 2, 0, 0, 1/11019, 3.8080000000000003/250.0, 42, 300
07:05:37.091567, 3, 0, 0, 99/11016, 24.295/250.0, 48, 300
07:05:38.095059, 0, 62, 18, 8377/11019, 135.06300000000002/250.0, 75, 1830
07:05:38.098375, 1, 0, 0, 1/11019, 19.36/250.0, 41, 300
07:05:38.101927, 2, 0, 0, 1/11019, 4.423/250.0, 41, 300
07:05:38.105253, 3, 0, 0, 99/11016, 24.087/250.0, 48, 300
07:05:39.108701, 0, 65, 17, 8377/11019, 127.46600000000001/250.0, 74, 1830
07:05:39.113735, 1, 0, 0, 1/11019, 19.502/250.0, 41, 300
07:05:39.116909, 2, 0, 0, 1/11019, 4.295/250.0, 41, 300
07:05:39.119612, 3, 0, 0, 99/11016, 24.105/250.0, 48, 300
07:05:40.123149, 0, 66, 18, 8377/11019, 133.90200000000002/250.0, 74, 1830
07:05:40.126026, 1, 0, 0, 1/11019, 19.533/250.0, 41, 300
07:05:40.129113, 2, 0, 0, 1/11019, 4.277/250.0, 41, 300
07:05:40.133474, 3, 0, 0, 99/11016, 24.529/250.0, 48, 300
07:05:41.137284, 0, 66, 18, 8377/11019, 133.892/250.0, 74, 1830
07:05:41.140036, 1, 0, 0, 1/11019, 19.179000000000002/250.0, 41, 300
07:05:41.143096, 2, 0, 0, 1/11019, 4.049/250.0, 41, 300
07:05:41.145773, 3, 0, 0, 99/11016, 24.248/250.0, 48, 300
07:05:42.149084, 0, 65, 17, 8377/11019, 132.997/250.0, 73, 1830
07:05:42.152197, 1, 0, 0, 1/11019, 19.134/250.0, 41, 300
07:05:42.155304, 2, 0, 0, 1/11019, 4.385/250.0, 41, 300
07:05:42.158039, 3, 0, 0, 99/11016, 24.258/250.0, 48, 300
07:05:43.161684, 0, 65, 18, 8377/11019, 130.435/250.0, 73, 1830
07:05:43.164659, 1, 0, 0, 1/11019, 19.114/250.0, 40, 300
07:05:43.167587, 2, 0, 0, 1/11019, 3.678/250.0, 41, 300
07:05:43.170313, 3, 0, 0, 99/11016, 24.2/250.0, 48, 300
07:05:44.173965, 0, 65, 17, 8377/11019, 131.959/250.0, 73, 1830
07:05:44.176934, 1, 0, 0, 1/11019, 19.158/250.0, 41, 300
07:05:44.179993, 2, 0, 0, 1/11019, 3.174/250.0, 41, 300
07:05:44.182690, 3, 0, 0, 99/11016, 24.329/250.0, 48, 300
07:05:45.186410, 0, 65, 17, 8377/11019, 126.72500000000001/250.0, 73, 1830
07:05:45.190871, 1, 0, 0, 1/11019, 19.252/250.0, 41, 300
07:05:45.194080, 2, 0, 0, 1/11019, 3.452/250.0, 41, 300
07:05:45.196887, 3, 0, 0, 99/11016, 24.164/250.0, 48, 300
07:05:46.200505, 0, 66, 18, 8377/11019, 125.272/250.0, 73, 1830
07:05:46.203435, 1, 0, 0, 1/11019, 19.206/250.0, 40, 300
07:05:46.206466, 2, 0, 0, 1/11019, 3.338/250.0, 41, 300
07:05:46.209186, 3, 0, 0, 99/11016, 23.893/250.0, 48, 300
07:05:47.212826, 0, 68, 18, 8377/11019, 130.853/250.0, 72, 1830
07:05:47.215627, 1, 0, 0, 1/11019, 19.445/250.0, 40, 300
07:05:47.218611, 2, 0, 0, 1/11019, 2.427/250.0, 41, 300
07:05:47.221295, 3, 0, 0, 99/11016, 24.283/250.0, 48, 300
07:05:48.224576, 0, 39, 11, 8377/11019, 111.61/250.0, 71, 1830
