Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
06:26:42.941370, 0, 1, 0, 1/11019, 72.419/250.0, 72, 1350
06:26:42.950637, 1, 0, 0, 1/11019, 24.769000000000002/250.0, 37, 315
06:26:42.959773, 2, 2, 1, 1/11019, 18.513/250.0, 37, 300
06:26:42.970417, 3, 0, 0, 98/11016, 23.740000000000002/250.0, 46, 300
06:26:43.973782, 0, 20, 2, 1/11019, 102.36/250.0, 73, 1830
06:26:43.975843, 1, 14, 2, 1/11019, 73.034/250.0, 40, 1905
06:26:43.977872, 2, 36, 11, 1/11019, 76.057/250.0, 39, 1890
06:26:43.980612, 3, 0, 0, 98/11016, 23.769000000000002/250.0, 46, 300
06:26:44.989719, 0, 0, 0, 205/11019, 100.12/250.0, 72, 1350
06:26:44.992424, 1, 1, 0, 209/11019, 72.392/250.0, 40, 1350
06:26:44.994804, 2, 0, 0, 1/11019, 76.212/250.0, 40, 1890
06:26:44.997857, 3, 0, 0, 98/11016, 23.817/250.0, 46, 300
06:26:46.001365, 0, 4, 0, 557/11019, 70.239/250.0, 70, 1350
06:26:46.003717, 1, 4, 0, 557/11019, 46.284/250.0, 39, 1350
06:26:46.006622, 2, 0, 0, 1/11019, 20.12/250.0, 38, 420
06:26:46.009405, 3, 0, 0, 98/11016, 23.639/250.0, 46, 300
06:26:47.051430, 0, 5, 0, 881/11019, 70.558/250.0, 69, 1350
06:26:47.053923, 1, 4, 0, 899/11019, 46.403/250.0, 39, 1350
06:26:47.057231, 2, 0, 0, 1/11019, 14.271/250.0, 37, 315
06:26:47.060337, 3, 0, 0, 98/11016, 23.643/250.0, 46, 300
06:26:48.070181, 0, 6, 0, 8377/11019, 222.33/250.0, 74, 1755
06:26:48.074373, 1, 51, 21, 8377/11019, 215.973/250.0, 45, 1890
06:26:48.077188, 2, 0, 0, 1/11019, 8.253/250.0, 37, 315
06:26:48.079933, 3, 0, 0, 98/11016, 23.116/250.0, 46, 300
06:26:49.083315, 0, 84, 42, 8377/11019, 98.19/250.0, 71, 1830
06:26:49.085456, 1, 46, 30, 8377/11019, 72.902/250.0, 42, 1890
06:26:49.088423, 2, 0, 0, 1/11019, 3.105/250.0, 37, 300
06:26:49.091082, 3, 0, 0, 98/11016, 23.655/250.0, 46, 300
06:26:50.094328, 0, 16, 10, 8377/11019, 97.902/250.0, 70, 1830
06:26:50.096398, 1, 5, 0, 8377/11019, 71.934/250.0, 42, 1890
06:26:50.099401, 2, 0, 0, 1/11019, 3.027/250.0, 37, 300
06:26:50.102117, 3, 0, 0, 98/11016, 24.045/250.0, 46, 300
06:26:51.105369, 0, 6, 0, 8377/11019, 69.788/250.0, 68, 1350
06:26:51.107819, 1, 0, 0, 8377/11019, 46.57/250.0, 41, 1350
06:26:51.111225, 2, 0, 0, 1/11019, 2.923/250.0, 37, 300
06:26:51.113935, 3, 0, 0, 98/11016, 23.988/250.0, 46, 300
06:26:52.117684, 0, 7, 2, 8377/11019, 117.47500000000001/250.0, 70, 1845
06:26:52.120343, 1, 47, 11, 8377/11019, 95.788/250.0, 43, 1890
06:26:52.123329, 2, 0, 0, 1/11019, 4.674/250.0, 37, 300
06:26:52.126092, 3, 0, 0, 98/11016, 23.565/250.0, 46, 300
06:26:53.130025, 0, 69, 17, 8377/11019, 120.177/250.0, 70, 1845
06:26:53.132934, 1, 62, 12, 8377/11019, 96.795/250.0, 43, 1890
06:26:53.135944, 2, 0, 0, 1/11019, 4.572/250.0, 37, 300
06:26:53.138674, 3, 0, 0, 98/11016, 23.73/250.0, 46, 300
06:26:54.142703, 0, 67, 16, 8377/11019, 129.77700000000002/250.0, 70, 1845
06:26:54.145659, 1, 60, 11, 8377/11019, 96.58500000000001/250.0, 44, 1890
06:26:54.148822, 2, 0, 0, 1/11019, 4.146/250.0, 37, 300
06:26:54.151570, 3, 0, 0, 98/11016, 23.418/250.0, 46, 300
06:26:55.155079, 0, 66, 15, 8377/11019, 116.54/250.0, 70, 1845
06:26:55.157425, 1, 61, 12, 8377/11019, 91.804/250.0, 44, 1890
06:26:55.160585, 2, 0, 0, 1/11019, 3.9610000000000003/250.0, 37, 300
06:26:55.164503, 3, 0, 0, 98/11016, 23.566/250.0, 46, 300
06:26:56.167087, 0, 66, 15, 8377/11019, 127.46900000000001/250.0, 69, 1845
06:26:56.169366, 1, 62, 12, 8377/11019, 96.941/250.0, 44, 1890
06:26:56.172095, 2, 0, 0, 1/11019, 3.935/250.0, 37, 300
06:26:56.174915, 3, 0, 0, 98/11016, 23.496000000000002/250.0, 46, 300
06:26:57.178490, 0, 67, 16, 8377/11019, 128.91/250.0, 69, 1845
06:26:57.181175, 1, 62, 12, 8377/11019, 97.542/250.0, 44, 1890
06:26:57.184684, 2, 0, 0, 1/11019, 4.0280000000000005/250.0, 37, 300
06:26:57.187893, 3, 0, 0, 98/11016, 23.076/250.0, 46, 300
06:26:58.191407, 0, 67, 16, 8377/11019, 124.348/250.0, 69, 1845
06:26:58.193872, 1, 60, 11, 8377/11019, 97.08800000000001/250.0, 44, 1890
06:26:58.196742, 2, 0, 0, 1/11019, 3.456/250.0, 37, 300
06:26:58.199798, 3, 0, 0, 98/11016, 23.591/250.0, 46, 300
06:26:59.203496, 0, 66, 15, 8377/11019, 112.962/250.0, 68, 1845
06:26:59.205945, 1, 60, 12, 8377/11019, 93.387/250.0, 44, 1890
06:26:59.209329, 2, 0, 0, 1/11019, 3.789/250.0, 37, 300
06:26:59.212202, 3, 0, 0, 98/11016, 23.219/250.0, 46, 300
06:27:00.216104, 0, 67, 16, 8377/11019, 112.47/250.0, 68, 1845
06:27:00.219139, 1, 62, 12, 8377/11019, 97.97800000000001/250.0, 45, 1890
06:27:00.222526, 2, 0, 0, 1/11019, 3.645/250.0, 37, 300
06:27:00.225827, 3, 0, 0, 98/11016, 23.192/250.0, 46, 300
06:27:01.229447, 0, 67, 16, 8377/11019, 120.61500000000001/250.0, 68, 1845
06:27:01.231773, 1, 61, 12, 8377/11019, 98.039/250.0, 45, 1890
06:27:01.234573, 2, 0, 0, 1/11019, 3.999/250.0, 37, 300
06:27:01.239882, 3, 0, 0, 98/11016, 23.39/250.0, 46, 300
06:27:02.243613, 0, 68, 16, 8377/11019, 127.09100000000001/250.0, 68, 1845
06:27:02.246043, 1, 62, 12, 8377/11019, 98.062/250.0, 45, 1890
06:27:02.249022, 2, 0, 0, 1/11019, 3.305/250.0, 37, 300
06:27:02.251689, 3, 0, 0, 98/11016, 23.321/250.0, 46, 300
06:27:03.255401, 0, 71, 17, 8377/11019, 95.678/250.0, 67, 1845
06:27:03.257974, 1, 62, 12, 8377/11019, 98.34700000000001/250.0, 45, 1890
06:27:03.261821, 2, 0, 0, 1/11019, 3.4210000000000003/250.0, 37, 300
06:27:03.264531, 3, 0, 0, 98/11016, 23.732/250.0, 46, 300
06:27:04.268040, 0, 36, 9, 8377/11019, 108.191/250.0, 67, 1845
06:27:04.270756, 1, 61, 13, 8377/11019, 88.397/250.0, 46, 1890
06:27:04.273805, 2, 0, 0, 1/11019, 3.134/250.0, 37, 300
06:27:04.276534, 3, 0, 0, 98/11016, 23.46/250.0, 46, 300
06:27:05.280204, 0, 58, 8, 8377/11019, 108.212/250.0, 67, 1845
06:27:05.282457, 1, 62, 12, 8377/11019, 98.56400000000001/250.0, 46, 1890
06:27:05.285554, 2, 0, 0, 1/11019, 3.173/250.0, 37, 300
06:27:05.288366, 3, 0, 0, 98/11016, 23.404/250.0, 46, 300
06:27:06.295526, 0, 66, 8, 8377/11019, 94.71600000000001/250.0, 66, 1845
06:27:06.299535, 1, 64, 13, 8377/11019, 99.19/250.0, 46, 1890
06:27:06.303497, 2, 0, 0, 1/11019, 3.069/250.0, 37, 300
06:27:06.307411, 3, 0, 0, 98/11016, 23.263/250.0, 46, 300
06:27:07.311286, 0, 26, 10, 8377/11019, 120.061/250.0, 67, 1845
06:27:07.314042, 1, 59, 14, 8377/11019, 98.286/250.0, 47, 1890
06:27:07.317267, 2, 0, 0, 1/11019, 3.185/250.0, 37, 300
06:27:07.320093, 3, 0, 0, 98/11016, 23.159/250.0, 46, 300
06:27:08.324315, 0, 73, 33, 8377/11019, 123.569/250.0, 67, 1845
06:27:08.327362, 1, 62, 12, 8377/11019, 98.233/250.0, 47, 1890
06:27:08.330348, 2, 0, 0, 1/11019, 4.565/250.0, 37, 300
06:27:08.333064, 3, 0, 0, 98/11016, 23.534/250.0, 46, 300
06:27:09.336854, 0, 70, 17, 8377/11019, 125.674/250.0, 67, 1845
06:27:09.339236, 1, 63, 12, 8377/11019, 99.272/250.0, 47, 1890
06:27:09.342259, 2, 0, 0, 1/11019, 4.438/250.0, 37, 300
06:27:09.345113, 3, 0, 0, 98/11016, 23.377/250.0, 46, 300
06:27:10.351882, 0, 71, 17, 8377/11019, 117.275/250.0, 67, 1845
06:27:10.354669, 1, 66, 14, 8377/11019, 99.392/250.0, 47, 1890
06:27:10.358126, 2, 0, 0, 1/11019, 4.551/250.0, 37, 300
06:27:10.360700, 3, 0, 0, 98/11016, 23.533/250.0, 46, 300
06:27:11.363135, 0, 71, 17, 8377/11019, 125.063/250.0, 66, 1845
06:27:11.365777, 1, 42, 10, 8377/11019, 83.586/250.0, 47, 1890
06:27:11.368772, 2, 0, 0, 1/11019, 4.372/250.0, 37, 300
06:27:11.371472, 3, 0, 0, 98/11016, 23.325/250.0, 46, 300
06:27:12.375410, 0, 68, 17, 8377/11019, 124.909/250.0, 66, 1845
06:27:12.378047, 1, 54, 7, 8377/11019, 90.015/250.0, 47, 1890
06:27:12.381210, 2, 0, 0, 1/11019, 4.356/250.0, 37, 300
06:27:12.383909, 3, 0, 0, 98/11016, 23.48/250.0, 46, 300
06:27:13.387341, 0, 71, 17, 8377/11019, 119.36/250.0, 66, 1845
06:27:13.389672, 1, 62, 7, 8377/11019, 90.25/250.0, 48, 1890
06:27:13.392607, 2, 0, 0, 1/11019, 4.372/250.0, 37, 300
06:27:13.395283, 3, 0, 0, 98/11016, 23.944/250.0, 46, 300
06:27:14.401462, 0, 72, 17, 8377/11019, 125.203/250.0, 66, 1845
06:27:14.404081, 1, 60, 7, 8377/11019, 101.61200000000001/250.0, 48, 1890
06:27:14.407975, 2, 0, 0, 1/11019, 4.246/250.0, 37, 300
06:27:14.415432, 3, 0, 0, 98/11016, 23.7/250.0, 46, 300
06:27:15.419217, 0, 71, 17, 8377/11019, 124.979/250.0, 66, 1845
06:27:15.421456, 1, 47, 6, 8377/11019, 77.411/250.0, 47, 1890
06:27:15.424849, 2, 0, 0, 1/11019, 4.346/250.0, 37, 300
06:27:15.427488, 3, 0, 0, 98/11016, 23.552/250.0, 46, 300
06:27:16.431443, 0, 69, 17, 8377/11019, 124.732/250.0, 66, 1845
06:27:16.434101, 1, 42, 30, 8377/11019, 95.342/250.0, 49, 1875
06:27:16.437108, 2, 0, 0, 1/11019, 4.7170000000000005/250.0, 37, 300
06:27:16.439807, 3, 0, 0, 98/11016, 23.627/250.0, 46, 300
06:27:17.444029, 0, 70, 18, 8377/11019, 118.004/250.0, 66, 1845
06:27:17.447163, 1, 64, 16, 8377/11019, 102.044/250.0, 49, 1875
06:27:17.454013, 2, 0, 0, 1/11019, 3.436/250.0, 37, 300
06:27:17.458930, 3, 0, 0, 98/11016, 23.519000000000002/250.0, 46, 300
06:27:18.462820, 0, 72, 16, 8377/11019, 106.246/250.0, 65, 1845
06:27:18.465842, 1, 63, 14, 8377/11019, 103.44500000000001/250.0, 49, 1875
06:27:18.468847, 2, 0, 0, 1/11019, 3.369/250.0, 37, 300
06:27:18.471540, 3, 0, 0, 98/11016, 23.913/250.0, 46, 300
06:27:19.475646, 0, 36, 6, 8377/11019, 106.369/250.0, 65, 1845
06:27:19.478551, 1, 64, 12, 8377/11019, 100.97500000000001/250.0, 50, 1875
06:27:19.481559, 2, 0, 0, 1/11019, 3.341/250.0, 37, 300
06:27:19.484204, 3, 0, 0, 98/11016, 23.349/250.0, 46, 300
06:27:20.487118, 0, 67, 9, 8377/11019, 94.019/250.0, 64, 1845
06:27:20.489516, 1, 67, 14, 8377/11019, 100.99000000000001/250.0, 50, 1875
06:27:20.492582, 2, 0, 0, 1/11019, 2.955/250.0, 37, 300
06:27:20.495726, 3, 0, 0, 98/11016, 23.31/250.0, 46, 300
06:27:21.499709, 0, 46, 5, 8377/11019, 95.273/250.0, 64, 1860
06:27:21.503035, 1, 61, 14, 8377/11019, 100.983/250.0, 49, 1875
06:27:21.506061, 2, 0, 0, 1/11019, 3.092/250.0, 37, 300
06:27:21.509294, 3, 0, 0, 98/11016, 23.542/250.0, 46, 300
06:27:22.512886, 0, 70, 17, 8377/11019, 109.86800000000001/250.0, 65, 1860
06:27:22.515209, 1, 63, 14, 8377/11019, 100.795/250.0, 49, 1875
06:27:22.518167, 2, 0, 0, 1/11019, 3.66/250.0, 37, 300
06:27:22.520848, 3, 0, 0, 98/11016, 23.962/250.0, 46, 300
06:27:23.525095, 0, 71, 17, 8377/11019, 124.74600000000001/250.0, 65, 1860
06:27:23.529102, 1, 65, 12, 8377/11019, 103.653/250.0, 50, 1875
06:27:23.532298, 2, 0, 0, 1/11019, 3.744/250.0, 37, 300
06:27:23.534930, 3, 0, 0, 98/11016, 23.774/250.0, 46, 300
06:27:24.538992, 0, 71, 17, 8377/11019, 124.845/250.0, 64, 1860
06:27:24.541604, 1, 64, 12, 8377/11019, 101.426/250.0, 50, 1875
06:27:24.544523, 2, 0, 0, 1/11019, 4.284/250.0, 37, 300
06:27:24.549096, 3, 0, 0, 98/11016, 23.68/250.0, 46, 300
06:27:25.554476, 0, 71, 16, 8377/11019, 124.557/250.0, 64, 1860
06:27:25.556893, 1, 64, 14, 8377/11019, 101.27/250.0, 50, 1875
06:27:25.559988, 2, 0, 0, 1/11019, 3.954/250.0, 37, 300
06:27:25.562688, 3, 0, 0, 98/11016, 23.378/250.0, 46, 300
06:27:26.566199, 0, 71, 16, 8377/11019, 124.629/250.0, 64, 1860
06:27:26.568778, 1, 65, 12, 8377/11019, 101.84100000000001/250.0, 50, 1875
06:27:26.571980, 2, 0, 0, 1/11019, 4.074/250.0, 37, 300
06:27:26.575059, 3, 0, 0, 98/11016, 23.547/250.0, 46, 300
06:27:27.580657, 0, 70, 17, 8377/11019, 116.637/250.0, 64, 1860
06:27:27.583333, 1, 64, 12, 8377/11019, 101.536/250.0, 50, 1875
06:27:27.586763, 2, 0, 0, 1/11019, 4.354/250.0, 37, 300
06:27:27.589349, 3, 0, 0, 98/11016, 23.359/250.0, 46, 300
06:27:28.592866, 0, 71, 17, 8377/11019, 124.266/250.0, 64, 1860
06:27:28.595438, 1, 64, 13, 8377/11019, 101.32300000000001/250.0, 51, 1875
06:27:28.598392, 2, 0, 0, 1/11019, 3.974/250.0, 37, 300
06:27:28.601041, 3, 0, 0, 98/11016, 23.623/250.0, 46, 300
06:27:29.606075, 0, 71, 17, 8377/11019, 124.119/250.0, 64, 1860
06:27:29.608394, 1, 66, 13, 8377/11019, 103.461/250.0, 51, 1875
06:27:29.611394, 2, 0, 0, 1/11019, 3.598/250.0, 37, 300
06:27:29.614174, 3, 0, 0, 98/11016, 23.44/250.0, 46, 300
06:27:30.618048, 0, 69, 16, 8377/11019, 124.328/250.0, 64, 1860
06:27:30.620668, 1, 64, 12, 8377/11019, 101.706/250.0, 51, 1875
06:27:30.623713, 2, 0, 0, 1/11019, 3.844/250.0, 37, 300
06:27:30.626521, 3, 0, 0, 98/11016, 23.143/250.0, 46, 300
06:27:31.631858, 0, 71, 17, 8377/11019, 124.285/250.0, 64, 1860
06:27:31.634321, 1, 62, 13, 8377/11019, 101.718/250.0, 51, 1875
06:27:31.637252, 2, 0, 0, 1/11019, 3.517/250.0, 37, 300
06:27:31.639790, 3, 0, 0, 98/11016, 24.033/250.0, 46, 300
06:27:32.643331, 0, 60, 14, 8377/11019, 93.73/250.0, 63, 1860
06:27:32.645547, 1, 66, 13, 8377/11019, 102.036/250.0, 51, 1875
06:27:32.648577, 2, 0, 0, 1/11019, 4.284/250.0, 37, 300
06:27:32.651631, 3, 0, 0, 98/11016, 23.490000000000002/250.0, 46, 300
06:27:33.655567, 0, 41, 5, 8377/11019, 105.60600000000001/250.0, 63, 1860
06:27:33.657959, 1, 63, 14, 8377/11019, 101.846/250.0, 51, 1875
06:27:33.660949, 2, 0, 0, 1/11019, 3.37/250.0, 37, 300
06:27:33.663498, 3, 0, 0, 98/11016, 23.523/250.0, 46, 300
06:27:34.667274, 0, 69, 9, 8377/11019, 105.973/250.0, 63, 1860
06:27:34.669738, 1, 69, 14, 8377/11019, 79.243/250.0, 51, 1875
06:27:34.672749, 2, 0, 0, 1/11019, 4.172/250.0, 37, 300
06:27:34.675457, 3, 0, 0, 98/11016, 23.447/250.0, 46, 300
06:27:35.679016, 0, 25, 3, 8377/11019, 263.136/250.0, 66, 1800
06:27:35.681435, 1, 41, 9, 8377/11019, 91.18900000000001/250.0, 52, 1875
06:27:35.684412, 2, 0, 0, 1/11019, 5.07/250.0, 37, 300
06:27:35.686995, 3, 0, 0, 98/11016, 23.159/250.0, 46, 300
06:27:36.690838, 0, 77, 40, 8377/11019, 124.09400000000001/250.0, 64, 1860
06:27:36.693133, 1, 59, 8, 8377/11019, 91.693/250.0, 52, 1875
06:27:36.696092, 2, 0, 0, 1/11019, 3.533/250.0, 37, 300
06:27:36.698805, 3, 0, 0, 98/11016, 23.228/250.0, 46, 300
06:27:37.702920, 0, 72, 17, 8377/11019, 123.961/250.0, 64, 1860
06:27:37.706028, 1, 61, 7, 8377/11019, 91.613/250.0, 52, 1875
06:27:37.709032, 2, 0, 0, 1/11019, 3.435/250.0, 37, 300
06:27:37.711762, 3, 0, 0, 98/11016, 23.133/250.0, 46, 300
06:27:38.715790, 0, 71, 17, 8377/11019, 118.33200000000001/250.0, 63, 1860
06:27:38.721244, 1, 62, 8, 8377/11019, 79.935/250.0, 51, 1875
06:27:38.723999, 2, 0, 0, 1/11019, 3.356/250.0, 37, 300
06:27:38.728281, 3, 0, 0, 98/11016, 23.619/250.0, 46, 300
06:27:39.731835, 0, 70, 18, 8377/11019, 124.059/250.0, 63, 1860
06:27:39.734008, 1, 25, 3, 8377/11019, 85.517/250.0, 51, 1875
06:27:39.736997, 2, 0, 0, 1/11019, 3.595/250.0, 37, 300
06:27:39.739890, 3, 0, 0, 98/11016, 23.413/250.0, 46, 300
06:27:40.747953, 0, 71, 17, 8377/11019, 110.318/250.0, 64, 1860
06:27:40.751653, 1, 16, 3, 8377/11019, 102.735/250.0, 53, 1875
06:27:40.755462, 2, 0, 0, 1/11019, 4.357/250.0, 37, 300
06:27:40.759664, 3, 0, 0, 98/11016, 23.605/250.0, 46, 300
06:27:41.763432, 0, 71, 17, 8377/11019, 109.76/250.0, 64, 1860
06:27:41.765906, 1, 65, 14, 8377/11019, 102.433/250.0, 52, 1875
06:27:41.769143, 2, 0, 0, 1/11019, 3.716/250.0, 37, 300
06:27:41.772000, 3, 0, 0, 98/11016, 23.566/250.0, 46, 300
06:27:42.775576, 0, 71, 17, 8377/11019, 108.86500000000001/250.0, 63, 1860
06:27:42.778361, 1, 65, 12, 8377/11019, 102.371/250.0, 53, 1875
06:27:42.781503, 2, 0, 0, 1/11019, 3.617/250.0, 37, 300
06:27:42.784310, 3, 0, 0, 98/11016, 23.794/250.0, 46, 300
06:27:43.787858, 0, 72, 17, 8377/11019, 123.73400000000001/250.0, 63, 1860
06:27:43.790338, 1, 65, 14, 8377/11019, 102.288/250.0, 52, 1875
06:27:43.793386, 2, 0, 0, 1/11019, 3.556/250.0, 37, 300
06:27:43.796212, 3, 0, 0, 98/11016, 23.371000000000002/250.0, 46, 300
06:27:44.800231, 0, 71, 17, 8377/11019, 123.538/250.0, 63, 1860
06:27:44.803172, 1, 65, 12, 8377/11019, 102.74000000000001/250.0, 53, 1875
06:27:44.806431, 2, 0, 0, 1/11019, 4.572/250.0, 37, 300
06:27:44.809510, 3, 0, 0, 98/11016, 23.569/250.0, 46, 300
06:27:45.815674, 0, 70, 17, 8377/11019, 123.717/250.0, 64, 1860
06:27:45.821207, 1, 65, 12, 8377/11019, 102.668/250.0, 53, 1875
06:27:45.823978, 2, 0, 0, 1/11019, 3.871/250.0, 37, 300
06:27:45.827846, 3, 0, 0, 98/11016, 23.021/250.0, 46, 300
06:27:46.831213, 0, 73, 17, 8377/11019, 111.46300000000001/250.0, 63, 1860
06:27:46.833556, 1, 66, 14, 8377/11019, 102.909/250.0, 53, 1875
06:27:46.836687, 2, 0, 0, 1/11019, 3.778/250.0, 37, 300
06:27:46.839561, 3, 0, 0, 98/11016, 22.917/250.0, 46, 300
06:27:47.843542, 0, 36, 7, 8377/11019, 102.399/250.0, 63, 1860
06:27:47.847567, 1, 63, 14, 8377/11019, 102.762/250.0, 53, 1875
06:27:47.850575, 2, 0, 0, 1/11019, 3.689/250.0, 37, 300
06:27:47.853385, 3, 0, 0, 98/11016, 22.925/250.0, 46, 300
06:27:48.857017, 0, 68, 9, 8377/11019, 105.527/250.0, 62, 1860
06:27:48.859499, 1, 66, 13, 8377/11019, 102.825/250.0, 53, 1875
06:27:48.862547, 2, 0, 0, 1/11019, 3.978/250.0, 37, 300
06:27:48.865433, 3, 0, 0, 98/11016, 23.355/250.0, 46, 300
06:27:49.870630, 0, 50, 6, 8377/11019, 92.71600000000001/250.0, 62, 1860
06:27:49.873698, 1, 66, 12, 8377/11019, 118.73/250.0, 54, 1875
06:27:49.876714, 2, 0, 0, 1/11019, 3.533/250.0, 37, 300
06:27:49.879431, 3, 0, 0, 98/11016, 23.726/250.0, 46, 300
06:27:50.883364, 0, 1, 0, 8377/11019, 123.145/250.0, 62, 1860
06:27:50.885795, 1, 62, 15, 8377/11019, 103.113/250.0, 54, 1875
06:27:50.888769, 2, 0, 0, 1/11019, 4.243/250.0, 37, 300
06:27:50.891858, 3, 0, 0, 98/11016, 23.597/250.0, 46, 300
06:27:51.896252, 0, 71, 17, 8377/11019, 114.119/250.0, 62, 1860
06:27:51.899984, 1, 63, 13, 8377/11019, 103.078/250.0, 54, 1875
06:27:51.902799, 2, 0, 0, 1/11019, 4.327/250.0, 37, 300
06:27:51.905432, 3, 0, 0, 98/11016, 23.377/250.0, 46, 300
06:27:52.908773, 0, 71, 16, 8377/11019, 123.465/250.0, 62, 1860
06:27:52.910974, 1, 64, 13, 8377/11019, 113.152/250.0, 54, 1875
06:27:52.914027, 2, 0, 0, 1/11019, 4.333/250.0, 37, 300
06:27:52.916913, 3, 0, 0, 98/11016, 23.613/250.0, 46, 300
06:27:53.922626, 0, 72, 16, 8377/11019, 123.095/250.0, 62, 1860
06:27:53.925404, 1, 66, 12, 8377/11019, 103.331/250.0, 54, 1875
06:27:53.928506, 2, 0, 0, 1/11019, 4.098/250.0, 37, 300
06:27:53.934161, 3, 0, 0, 98/11016, 23.482/250.0, 46, 300
06:27:54.938438, 0, 73, 17, 8377/11019, 123.20400000000001/250.0, 63, 1860
06:27:54.941488, 1, 67, 14, 8377/11019, 107.07600000000001/250.0, 54, 1875
06:27:54.944947, 2, 0, 0, 1/11019, 3.573/250.0, 37, 300
06:27:54.947664, 3, 0, 0, 98/11016, 23.607/250.0, 46, 300
06:27:55.951458, 0, 72, 17, 8377/11019, 116.162/250.0, 62, 1860
06:27:55.954324, 1, 66, 12, 8377/11019, 103.105/250.0, 55, 1875
06:27:55.957377, 2, 0, 0, 1/11019, 3.786/250.0, 37, 300
06:27:55.960144, 3, 0, 0, 98/11016, 23.403000000000002/250.0, 46, 300
06:27:56.963620, 0, 72, 17, 8377/11019, 117.055/250.0, 62, 1860
06:27:56.966385, 1, 67, 14, 8377/11019, 103.446/250.0, 54, 1875
06:27:56.969378, 2, 0, 0, 1/11019, 3.681/250.0, 37, 300
06:27:56.972124, 3, 0, 0, 98/11016, 23.186/250.0, 46, 300
06:27:57.979024, 0, 73, 16, 8377/11019, 123.153/250.0, 62, 1860
06:27:57.985209, 1, 65, 13, 8377/11019, 104.357/250.0, 54, 1875
06:27:57.988946, 2, 0, 0, 1/11019, 3.887/250.0, 37, 300
06:27:57.991456, 3, 0, 0, 98/11016, 23.579/250.0, 46, 300
