Core_power_sum(W),CPU_power(W),CPU_usage(%),Time(s)
57.5959,86.6875,20,1.002067
44.2066,73.8427,11,2.003112
41.8341,73.292,11,3.004538
78.6928,112.005,36,4.005696
44.6298,78.0003,12,5.006965
106.902,138.436,58,6.007909
60.7622,92.3206,15,7.009144
78.825,112.745,32,8.010028
107.102,140.606,54,9.010987
107.743,145.834,58,10.012136
111.613,149.875,61,11.013368
112.723,151.597,62,12.014266
111.004,149.262,62,13.015191
113.544,152.09,62,14.016055
113.062,151.704,62,15.017094
110.774,149.674,59,16.018175
112.83,151.853,61,17.019261
112.416,151.002,61,18.020257
95.5409,134.327,51,19.021265
109.271,148.157,59,20.022269
102.795,141.711,56,21.023313
87.1068,125.072,46,22.024256
73.6436,110.184,36,23.025263
101.722,139.324,53,24.026185
92.0477,130.403,48,25.026949
84.3676,122.56,43,26.027766
80.0142,116.846,37,27.028615
93.3112,131.027,48,28.029512
91.6461,130.136,48,29.030473
91.6623,130.232,48,30.031429
89.9613,128.374,46,31.032331
79.5209,117.07,40,32.033484
74.3483,111.89,36,33.034492
84.822,122.549,43,34.035354
89.7639,127.125,44,35.036259
92.2925,130.793,47,36.037304
92.2111,130.665,48,37.038282
92.4177,131.123,49,38.039255
87.4333,125.69,45,39.040239
77.6071,114.58,37,40.041317
97.3922,135.199,50,41.04266
75.6874,113.266,37,42.043685
76.0188,113.658,38,43.044709
76.6576,113.293,36,44.045606
99.8258,136.881,52,45.046658
83.2077,121.304,43,46.047673
81.2171,119.255,40,47.048688
85.8955,123.623,42,48.049734
95.6685,134.226,51,49.050767
93.0568,131.623,48,50.051774
91.0626,129.596,47,51.05282
90.0166,128.589,46,52.053975
89.6389,128.147,46,53.055026
88.6098,127.159,47,54.055941
88.6755,127.039,45,55.056979
88.3836,126.831,44,56.058003
66.89,104.342,32,57.059097
81.5892,118.37,40,58.060191
67.409,104.485,31,59.06122
58.1544,94.7564,25,60.062216
77.9348,113.733,35,61.06319
86.5793,123.546,43,62.064155
94.4774,133.178,50,63.065235
93.6699,132.293,50,64.066308
88.5395,126.914,46,65.067309
88.4814,126.819,47,66.068241
89.6914,128.273,48,67.069692
87.8067,126.278,46,68.070587
91.1792,129.41,46,69.071498
90.1507,127.873,45,70.072458
87.5985,125.679,44,71.073391
77.4624,115.413,38,72.074318
73.1871,110.524,34,73.075198
75.0163,111.96,37,74.076138
81.0564,118.587,41,75.077092
76.5541,114.226,37,76.077905
72.681,110.108,34,77.07884
85.5957,122.876,41,78.079911
91.7107,129.271,46,79.080972
90.483,128.631,45,80.081988
89.9984,128.456,47,81.08287
82.128,120.345,41,82.08389
85.1379,122.823,43,83.085019
79.4343,117.365,39,84.086182
79.1452,116.842,38,85.087216
86.6624,124.172,43,86.088133
89.1264,127.207,44,87.089075
88.3137,126.714,45,88.090035
88.605,127.058,45,89.09101
86.4575,124.942,44,90.091967
80.2094,118.236,40,91.092982
77.6596,115.101,38,92.09405
81.9542,119.503,41,93.095107
78.7433,116.168,39,94.096047
66.5971,103.211,29,95.097003
76.5,113.1,35,96.097992
74.378,111.402,35,97.09902
72.7048,109.869,33,98.100005
87.7491,124.573,43,99.100994
91.1201,129.655,45,100.102175
87.1004,125.388,43,101.103227
87.6118,126.061,45,102.104219
88.3854,126.868,45,103.105442
87.7481,126.205,44,104.106463
87.6315,126.179,44,105.107435
88.2598,126.845,45,106.10834
80.2871,118.416,39,107.109193
78.1,115.548,38,108.110137
63.889,101.087,29,109.111185
70.9863,108.013,33,110.112158
71.757,108.165,31,111.113197
90.0501,127.328,46,112.114095
88.2193,126.025,45,113.115035
101.628,140.076,54,114.116034
94.4654,133.274,50,115.11702
93.6595,132.23,48,116.117986
92.8122,131.5,48,117.118789
93.529,132.39,49,118.119634
93.3204,131.965,49,119.120576
86.8068,125.382,44,120.121598
82.1169,119.662,40,121.12259
73.1036,110.782,35,122.123504
83.8305,121.613,41,123.12448
71.6352,108.406,32,124.125462
86.0725,123.862,44,125.126407
80.2833,118.124,40,126.127357
78.8349,116.5,40,127.128251
81.6283,118.838,38,128.129243
95.7713,132.851,48,129.1302
87.8507,126.104,44,130.131096
94.0974,132.281,47,131.132008
95.195,133.968,49,132.133121
79.0365,117.1,39,133.134204
88.7224,126.776,45,134.13528
76.0539,113.905,36,135.136249
79.8678,117.288,38,136.137391
93.7886,131.941,47,137.138493
91.8812,130.595,48,138.139498
91.082,129.833,47,139.140577
91.0998,129.865,47,140.141532
83.7097,122.046,42,141.142534
89.8253,128.009,46,142.143348
82.987,121.344,42,143.144172
73.927,111.78,35,144.145081
83.5991,121.371,40,145.1461
80.9475,117.867,40,146.147013
75.8407,113.34,37,147.147867
79.3915,116.609,38,148.148748
86.423,123.864,42,149.149713
90.0399,128.47,46,150.150659
86.0001,124.394,44,151.151585
92.0893,130.673,48,152.152579
89.7006,128.119,45,153.153453
84.284,122.615,42,154.156986
84.7595,123.205,42,155.158223
84.6689,123.137,42,156.159184
83.6281,121.939,42,157.160283
71.8599,109.154,32,158.161439
91.4534,128.389,44,159.162502
69.9527,107.613,33,160.163686
55.7479,92.4074,23,161.164756
87.637,124.107,41,162.16574
84.4331,122.219,42,163.166648
82.3161,120.45,41,164.167707
84.5391,122.249,41,165.16868
90.3404,128.316,46,166.169629
83.6346,121.817,41,167.170629
86.4068,124.864,43,168.17163
87.5639,126.031,45,169.172804
87.5937,126.238,44,170.173865
75.7167,113.746,36,171.174871
86.0399,124.012,42,172.175831
77.2279,115.246,37,173.176812
76.2309,113.761,35,174.177861
76.5556,113.69,36,175.178914
89.4326,127.604,46,176.18017
82.1123,120.278,40,177.181286
70.4767,108.036,32,178.182308
93.3022,131.032,46,179.183347
83.9708,121.919,40,180.184342
78.6723,116.656,39,181.185343
93.0217,131.024,46,182.186351
87.3241,125.209,44,183.187274
85.1217,123.103,42,184.18824
75.9358,113.614,36,185.18927
73.1697,110.491,34,186.19022
90.4693,127.963,43,187.191162
101.806,140.078,53,188.192294
95.7532,134.651,49,189.193209
94.4461,133.366,49,190.194181
91.5116,130.124,46,191.195129
87.6376,126.14,45,192.196004
96.2428,134.904,48,193.197042
87.3704,125.903,44,194.198046
80.6005,118.612,40,195.199181
74.9179,111.658,34,196.200282
83.4288,120.65,40,197.201371
70.6062,108.293,32,198.202425
69.6268,106.734,30,199.203503
89.4426,126.564,44,200.204608
94.7207,133.408,49,201.205597
94.6557,133.565,49,202.206532
94.1059,132.977,50,203.207445
94.2392,133.066,48,204.208394
93.0211,131.771,47,205.20948
94.9338,133.797,49,206.210496
94.5208,133.431,48,207.21148
89.4483,128.327,46,208.212602
74.7404,112.169,36,209.213486
79.2598,117.065,38,210.214433
62.9903,100.373,28,211.215498
80.5409,117.302,37,212.216429
85.7233,122.671,41,213.217354
81.2777,119.191,38,214.218264
76.8183,114.675,37,215.219254
77.0117,114.834,36,216.220366
89.132,126.678,44,217.221398
98.2601,136.212,49,218.222246
93.7942,132.636,48,219.223158
92.3147,131.044,47,220.224004
75.6976,113.421,37,221.224951
81.0688,118.478,40,222.22591
79.0567,117.151,39,223.226844
78.4019,116.022,37,224.227778
84.349,122.021,42,225.228693
82.2793,120.467,41,226.229614
87.1626,125.434,42,227.230577
80.2647,118.447,40,228.231608
80.9758,119.09,39,229.232602
76.7689,114.203,36,230.233477
94.0096,131.96,48,231.234366
84.3634,122.763,41,232.23533
75.9113,113.872,36,233.236241
78.601,116.066,37,234.237171
76.0214,113.342,35,235.23815
83.6665,121.652,40,236.239098
95.7637,133.873,48,237.24003
93.023,131.941,48,238.241294
89.9433,128.682,47,239.242466
86.8467,125.297,45,240.24344
94.9727,133.495,48,241.244347
84.045,122.5,41,242.245327
81.431,119.509,40,243.246247
80.8839,119.034,40,244.247186
76.4071,114.289,37,245.248167
63.313,100.592,28,246.249205
93.3153,129.512,46,247.250166
83.991,121.666,39,248.251184
77.493,114.773,37,249.252075
82.4066,119.903,40,250.253148
86.3263,124.686,43,251.254229
98.7771,137.133,51,252.255258
91.5481,130.194,47,253.256266
91.2088,129.981,47,254.257334
91.2936,130.258,46,255.258285
91.2838,130.158,46,256.259279
89.9668,128.762,45,257.260236
90.1807,128.951,46,258.261214
73.8235,111.676,35,259.262058
83.6539,121.659,41,260.263007
81.4191,119.243,40,261.263983
77.7387,115.176,37,262.264932
87.0679,125.134,42,263.265979
85.772,123.526,42,264.266956
87.1126,125.051,45,265.26798
93.0049,131.398,47,266.269385
84.1215,122.663,42,267.270449
83.1947,121.581,42,268.27154
80.7155,118.388,38,269.272661
86.359,124.235,43,270.2737
89.7297,128.074,44,271.274695
85.5099,123.628,42,272.275634
74.7457,112.584,35,273.276572
74.4429,112.272,34,274.277478
81.9851,119.717,39,275.278387
81.4406,119.373,39,276.2794
94.9824,132.75,48,277.280504
80.5645,118.935,40,278.281513
80.807,119.066,39,279.282635
82.4495,120.431,40,280.283735
94.7775,132.809,48,281.284705
78.8622,116.937,39,282.28571
87.3765,125.694,43,283.286634
75.9253,113.455,36,284.28773
72.1768,109.953,33,285.288803
76.6834,114.082,35,286.289768
97.9902,135.711,49,287.290684
92.0779,130.717,46,288.291634
95.9501,135.018,51,289.292674
95.5804,134.595,50,290.293687
95.3298,134.364,50,291.294614
95.8425,134.772,49,292.295509
87.0445,125.492,43,293.296495
97.3603,135.97,50,294.29979
87.487,126.146,44,295.300835
79.3617,117.672,38,296.301741
81.3249,118.677,38,297.30266
77.1296,114.431,36,298.30363
63.7056,101.058,28,299.304675
85.9197,122.65,40,300.305661
85.8435,124.131,44,301.306659
83.415,121.597,43,302.307685
84.4371,122.545,42,303.308672
88.0407,125.813,43,304.309606
87.1797,125.535,43,305.310594
96.6484,134.877,49,306.311563
96.8089,135.553,48,307.312478
88.9327,127.602,45,308.313422
78.0042,116.027,38,309.314358
75.2001,112.89,35,310.315298
79.5952,117.383,38,311.316223
74.6471,112.004,34,312.317204
86.1947,124.085,42,313.318084
96.191,134.658,49,314.319078
96.6109,135.528,49,315.320099
89.999,128.788,45,316.321148
94.6219,133.295,49,317.322193
90.0905,128.797,46,318.323293
89.6564,128.296,46,319.324283
89.0059,127.602,45,320.325207
93.3838,131.529,47,321.326259
87.5252,125.546,43,322.327234
87.3301,125.796,43,323.328235
79.541,117.885,38,324.32943
78.6144,116.307,37,325.330401
86.4046,124.349,41,326.331338
86.2445,124.818,44,327.332313
93.993,132.466,48,328.3333
83.1417,121.451,42,329.33443
94.8198,133.478,48,330.335407
85.2301,123.144,42,331.336333
90.1578,128.207,45,332.337461
89.1005,127.805,45,333.338537
79.6038,117.735,39,334.339645
82.7231,119.97,39,335.340615
81.0426,118.172,37,336.341595
72.4668,110.013,33,337.342601
79.2874,115.948,36,338.343592
90.6303,128.372,44,339.347299
90.0473,128.738,45,340.348615
89.9085,-65407.5,44,341.349733
90.3314,129.014,44,342.350876
87.9436,126.694,44,343.352016
82.126,120.366,40,344.353026
89.0879,127.43,43,345.353927
82.1334,120.381,40,346.355057
73.7687,111.649,34,347.356074
90.7863,128.271,44,348.357186
81.3572,119.553,39,349.358291
79.3422,117.559,38,350.359421
78.3251,115.546,37,351.360707
92.624,131.242,47,352.361673
83.2018,121.471,41,353.362683
82.9592,121.482,41,354.363698
84.307,122.714,41,355.364682
97.7007,136.089,50,356.36564
88.7379,127.355,43,357.366644
82.7585,121.161,41,358.367618
88.5326,127.129,44,359.368595
76.5154,114.125,36,360.369493
79.2051,116.634,37,361.370366
67.7497,105.28,31,362.371345
75.6078,112.811,34,363.372375
82.9302,120.458,39,364.373363
102.801,140.367,51,365.374178
95.5838,134.489,47,366.374977
91.0732,129.943,46,367.376
87.6789,126.325,44,368.377183
86.5863,124.832,42,369.378228
89.2962,127.822,44,370.379218
